location_tag,province,owner,rank,rgo,capacity_people,pops_people,over_capacity,processor,processor_levels,farm,farm_levels,land_levels_available,farm_land_people,farm_limit
tonbridge,kent_province,ENG,rural_settlement,wool,161170.0,22400.0,false,"",0,sheep_farms,6,68,12000.0,cap
leiria,beira_litoral_province,POR,rural_settlement,lumber,67500.0,25392.0,false,lumber_mill,2,"",0,0,0.0,""
paguat,gorontalo_province,GRT,rural_settlement,beeswax,34400.0,1097.9999999999998,false,"",0,farming_village,0,5,0.0,workers
budejovice,bechinsko_province,BOH,rural_settlement,wheat,107540.0,30648.0,false,"",0,farming_village,6,14,30000.0,cap
rushan,ninghai_province,CHI,rural_settlement,legumes,125000.0,122847.00000000001,false,"",0,farming_village,0,0,0.0,land
lishan_xinyang,xinyang_province,CHI,rural_settlement,livestock,107690.0,9859.0,false,"",0,farming_village,5,18,25000.0,workers
ramnicu_valcea,north_oltenia_province,WAL,rural_settlement,salt,72820.0,7660.0,false,inland_saltworks,2,"",0,0,0.0,""
liptovsky_mikulas,trencsen_province,HUN,rural_settlement,goods_gold,55610.0,25450.0,false,gold_diggings,1,"",0,0,0.0,""
sfantu_gheorghe,szekelyfold_province,HUN,rural_settlement,millet,77320.0,11924.0,false,"",0,farming_village,6,12,30000.0,cap
rozan,ciechanow_province,RAW,rural_settlement,millet,60410.0,3438.0,false,"",0,farming_village,2,10,10000.0,workers
lampung,lampung_province,PLB,rural_settlement,cloves,63540.0,17238.0,false,"",0,"",0,0,0.0,""
volok,zvenigorod_province,NOV,rural_settlement,millet,48300.0,13040.999999999998,false,"",0,farming_village,6,6,30000.0,land
surab,qusdar_province,KLA,rural_settlement,legumes,24800.0,2639.0000000000005,false,"",0,farming_village,0,3,0.0,workers
kavar,jahrom_province,INJ,rural_settlement,stone,29600.0,4458.0,false,stone_quarry,1,"",0,0,0.0,""
limin,xingzhou_province,CHI,rural_settlement,legumes,54300.0,8475.0,false,"",0,farming_village,2,8,10000.0,workers
aschaffenburg,spessart_province,MAI,rural_settlement,copper,123350.0,13063.0,false,copper_mine,1,"",0,0,0.0,""
tujun,upper_bureya_province,CHI,rural_settlement,livestock,10200.0,1790.0,false,"",0,farming_village,0,0,0.0,land
mashhad,mashhad_province,JKR,rural_settlement,fruit,29800.0,11060.0,false,"",0,fruit_orchard,2,2,10000.0,land
crepy,beauvaisis_province,FRA,rural_settlement,fur,205500.0,33475.0,false,forest_village,2,farming_village,6,33,30000.0,cap
laungshe,salin_province,PIN,rural_settlement,medicaments,51500.0,6534.0,false,"",0,"",0,0,0.0,""
samara,samara_province,GLH,rural_settlement,livestock,48500.0,7838.0,false,"",0,farming_village,2,7,10000.0,workers
sallum,alexandria_province,MAM,rural_settlement,sand,37600.0,13181.0,false,sand_pit,1,"",0,0,0.0,""
egil,diyarbekir_province,EGL,rural_settlement,fur,43900.0,4236.0,false,forest_village,0,"",0,0,0.0,""
kortkeros,ust_sysola_province,PRM,rural_settlement,iron,9500.0,7695.0,false,iron_mine,1,"",0,0,0.0,""
charouine,gourara_province,TAT,rural_settlement,horses,17400.0,6438.0,false,"",0,"",0,0,0.0,""
garwolin,czersk_province,CZK,rural_settlement,wool,55410.0,20335.0,false,"",0,sheep_farms,6,17,12000.0,cap
sandaran,karangan_province,MRP,rural_settlement,fish,40100.0,1571.0,false,fishing_village,0,"",0,0,0.0,""
rabor,jiroft_province,KRM,rural_settlement,copper,17800.0,1299.9999999999998,false,copper_mine,0,"",0,0,0.0,""
tixtla,yopitzinco_province,TLA,rural_settlement,cotton,32800.0,13234.0,false,"",0,"",0,0,0.0,""
cetatea_tetina,dorohei_province,HTN,rural_settlement,legumes,68520.0,4547.0,false,"",0,farming_village,1,11,5000.0,workers
iziaslav,zviahel_province,VOL,rural_settlement,fruit,47000.0,6666.0,false,"",0,fruit_orchard,3,7,15000.0,workers
poskam,yarkand_province,DGH,rural_settlement,wheat,44600.0,3364.0000000000005,false,"",0,farming_village,0,7,0.0,workers
sjenica,raska_province,SER,rural_settlement,livestock,57710.0,7047.0,false,"",0,farming_village,4,9,20000.0,workers
baitan,xingzhou_province,CHI,rural_settlement,millet,55000.0,24032.999999999996,false,"",0,farming_village,5,5,25000.0,land
keowee,keowee_province,GWY,rural_settlement,clay,29600.0,4989.999999999999,false,clay_pit,0,"",0,0,0.0,""
trieste,gorizia_province,TTE,town,horses,100720.0,14633.0,false,"",0,"",0,0,0.0,""
sitavaka,dakhina_desa,DBD,rural_settlement,fruit,65240.0,47473.0,false,"",0,fruit_orchard,2,2,10000.0,land
gandamak,kabul_province,QUN,rural_settlement,legumes,75520.0,74064.0,false,"",0,farming_village,0,0,0.0,land
bazas,bazadais_province,FRA,rural_settlement,wine,157260.0,18296.0,false,"",0,farming_village,6,26,30000.0,cap
offenbach,untermain_province,FLK,rural_settlement,wild_game,190280.0,23629.0,false,forest_village,2,farming_village,6,32,30000.0,cap
hogdal,halsingland_province,SWE,rural_settlement,wild_game,15700.0,1216.0,false,forest_village,0,"",0,0,0.0,""
castellon_de_la_plana,castellon_province,ARA,town,salt,109920.0,17685.000000000004,false,salt_collector,2,"",0,0,0.0,""
yuryev_polsky,suzdal_province,YRV,rural_settlement,salt,40700.0,12216.0,false,inland_saltworks,2,"",0,0,0.0,""
vohipeno,antemoro_province,ZFI,rural_settlement,saffron,42940.0,5836.0,false,"",0,"",0,0,0.0,""
toksovo,lopskaya_province,ORE,rural_settlement,fur,35700.0,528.0,false,forest_village,0,"",0,0,0.0,""
azraq,hawran_province,AMR,rural_settlement,livestock,19900.0,6165.0,false,"",0,farming_village,1,1,5000.0,land
hvlan,hulan_province,EJI,rural_settlement,millet,62100.0,22676.0,false,"",0,farming_village,0,6,0.0,workers
dusseldorf,niederrhein_province,BRG,town,horses,221500.0,22830.000000000004,false,"",0,farming_village,6,38,30000.0,cap
khukhragarh,ranchi_province,KKR,rural_settlement,lumber,105810.0,89295.0,false,lumber_mill,2,"",0,0,0.0,""
devkot,devkot_province,GAU,rural_settlement,sugar,122990.0,90126.0,false,"",0,"",0,0,0.0,""
chios,chios_province,BYZ,rural_settlement,medicaments,44400.0,4878.0,false,"",0,"",0,0,0.0,""
myrhorod,poltava_province,KIE,rural_settlement,wheat,60900.0,9950.0,false,"",0,farming_village,5,9,25000.0,workers
dharmapuri,baramahal,HSL,town,cotton,98110.0,96517.00000000001,false,"",0,"",0,0,0.0,""
digavapi,ruhunu,DBD,rural_settlement,fish,74840.0,58348.0,false,fishing_village,3,"",0,0,0.0,""
minxian,fuzhou_province,CHI,city,sugar,123350.0,54763.0,false,"",0,"",0,0,0.0,""
lingui,guilin_province,CHI,town,marble,110960.0,72677.0,false,marble_quarry,0,"",0,0,0.0,""
bonndorf,schwarzwald_province,HAB,rural_settlement,wild_game,116040.0,9840.0,false,forest_village,2,"",0,0,0.0,""
pavia,pavia_province,PAV,city,wheat,243410.0,60807.0,false,"",0,farming_village,6,35,30000.0,cap
nagnes,halar,KUT,rural_settlement,pearls,95960.0,122721.0,true,"",0,"",0,0,0.0,""
whitby,north_riding_province,ENG,rural_settlement,alum,54410.0,18567.0,false,alum_quarry,1,"",0,0,0.0,""
al_khuraybah,hadramawt_province,YEM,rural_settlement,livestock,54500.0,14276.0,false,"",0,farming_village,6,7,30000.0,cap
keriya,khotan_province,DGH,rural_settlement,gems,20300.0,4338.999999999999,false,gem_gravel_pit,0,"",0,0,0.0,""
dong_lakhon,ayutthaya_province,LAV,rural_settlement,fiber_crops,74340.0,24265.0,false,"",0,"",0,0,0.0,""
bintang,casamance_province,KAB,rural_settlement,fish,29000.0,18025.0,false,fishing_village,0,"",0,0,0.0,""
lucca,lucca_province,LUC,city,cotton,113010.0,99782.00000000001,false,"",0,"",0,0,0.0,""
singarh,northern_desh,DLH,rural_settlement,beeswax,142870.0,141507.0,false,"",0,farming_village,0,0,0.0,land
adilabad,sirpur_province,CHD,rural_settlement,fruit,91050.0,76164.0,false,"",0,fruit_orchard,1,1,5000.0,land
turciansky_svaty_martin,trencsen_province,HUN,rural_settlement,iron,76320.0,15690.0,false,iron_mine,2,"",0,0,0.0,""
boryeong,hongju_province,KOR,rural_settlement,fish,80810.0,5579.000000000001,false,fishing_village,3,"",0,0,0.0,""
julu,shunde_province,CHI,rural_settlement,clay,120420.0,27881.0,false,clay_pit,2,farming_village,6,17,30000.0,cap
hassan_karnataka,mysore_plateau,HSL,rural_settlement,livestock,75440.0,61066.0,false,"",0,farming_village,1,1,5000.0,land
mieres,east_asturias_province,CAS,rural_settlement,iron,39600.0,11379.0,false,iron_mine,2,"",0,0,0.0,""
mystras,laconia_province,BYZ,rural_settlement,tin,56910.0,7566.0,false,tin_streamworks,1,"",0,0,0.0,""
dechang,dechang_province,CGZ,rural_settlement,silk,54300.0,8578.0,false,"",0,"",0,0,0.0,""
padise,estonia_province,DAN,rural_settlement,fiber_crops,48410.0,4596.0,false,"",0,"",0,0,0.0,""
dangtu,taiping_province,CHI,town,wheat,196180.0,185734.0,false,"",0,farming_village,1,1,5000.0,land
khawr_nubt,atbai_province,NQS,rural_settlement,gems,15000.0,13051.0,false,gem_gravel_pit,1,"",0,0,0.0,""
kaskinampo,kaskinampo_province,KSK,rural_settlement,fiber_crops,28800.0,3764.0000000000005,false,"",0,"",0,0,0.0,""
vat_phou,khukhan_province,KHM,rural_settlement,rice,50200.0,3122.0,false,"",0,farming_village,0,8,0.0,workers
fasa,jahrom_province,SHB,rural_settlement,wheat,30700.0,1996.0,false,"",0,farming_village,0,4,0.0,workers
bagaluhan,mataram_province,MAJ,rural_settlement,fish,69940.0,69660.0,false,fishing_village,3,"",0,0,0.0,""
julfa,syunik_province,JAL,rural_settlement,wool,33100.0,4350.0,false,"",0,sheep_farms,1,13,2000.0,workers
tiaoxian,jingzhou_beizhili_province,CHI,town,wheat,120020.0,30676.000000000004,false,"",0,farming_village,6,16,30000.0,cap
el_gadarif,upper_butana_province,ALO,rural_settlement,ivory,80490.0,79692.0,false,"",0,"",0,0,0.0,""
leeds,west_riding_province,ENG,rural_settlement,iron,103530.0,12437.0,false,iron_mine,2,"",0,0,0.0,""
dingnan_anshun,anshun_province,PDN,rural_settlement,fruit,107500.0,3860.9999999999995,false,"",0,fruit_orchard,0,19,0.0,workers
ternate,ternate_province,TER,town,cloves,51600.0,6705.999999999999,false,"",0,"",0,0,0.0,""
pazhaverkadu,kosta,RDY,city,dyes,111710.0,38909.0,false,"",0,"",0,0,0.0,""
nanan,chuxiong_province,LNG,rural_settlement,horses,56400.0,12115.0,false,"",0,"",0,0,0.0,""
agen,agenais_province,FRA,town,horses,226200.0,46065.0,false,"",0,farming_village,6,35,30000.0,cap
sancha,qinzhou_shaanxi_province,CHI,rural_settlement,clay,55600.0,18841.0,false,clay_pit,2,"",0,0,0.0,""
chinchilla,albacete_province,CAS,rural_settlement,wine,46810.0,5502.0,false,"",0,"",0,0,0.0,""
deir_ez_zor,deir_province,FDL,rural_settlement,wheat,35900.0,10281.0,false,"",0,farming_village,3,4,15000.0,workers
famagusta,cyprus_province,CYP,rural_settlement,wheat,101630.0,19648.0,false,"",0,farming_village,6,15,30000.0,cap
chakan_putum,tabacoh_province,CKP,city,chili,93230.0,45557.0,false,"",0,"",0,0,0.0,""
nanxi,xuzhou_sichuan_province,CHI,rural_settlement,legumes,234250.0,14430.0,false,"",0,farming_village,6,42,30000.0,cap
terebovlia,terebovlia_province,HAL,rural_settlement,legumes,63900.0,6868.0,false,"",0,farming_village,4,10,20000.0,workers
kherlen,kerulen_province,BGT,rural_settlement,lead,21100.0,7938.000000000001,false,lead_mine,1,"",0,0,0.0,""
chiniot,rechna_doab_province,DLH,rural_settlement,cotton,120440.0,85686.0,false,"",0,"",0,0,0.0,""
matendere,upper_save_province,ZMW,rural_settlement,millet,46100.0,23683.0,false,"",0,farming_village,3,3,15000.0,land
jarrarah,nita_province,JRW,rural_settlement,livestock,15700.0,2960.0,false,"",0,farming_village,1,1,5000.0,land
alcanices,benavente_province,CAS,rural_settlement,livestock,62210.0,26186.999999999996,false,"",0,farming_village,6,6,30000.0,land
ellur,vengi_nadu,KPL,rural_settlement,iron,98550.0,73892.0,false,iron_mine,2,"",0,0,0.0,""
alakol,zharkol_province,GLH,rural_settlement,fur,45110.0,1685.0,false,forest_village,0,"",0,0,0.0,""
birzai,upyte_province,LIT,rural_settlement,lumber,46600.0,10073.0,false,lumber_mill,2,"",0,0,0.0,""
mergen,upper_non_province,CHI,rural_settlement,wild_game,42900.0,27168.0,false,forest_village,0,"",0,0,0.0,""
ban_don,southern_highland_province,KHM,rural_settlement,lumber,54600.0,10227.0,false,lumber_mill,2,"",0,0,0.0,""
kamien,stettin_province,WOL,rural_settlement,fish,80920.0,25011.0,false,fishing_village,3,"",0,0,0.0,""
masalsk,masalsk_province,KCH,rural_settlement,wool,44100.0,8344.999999999998,false,"",0,sheep_farms,5,17,10000.0,workers
gmunden,traungau_province,HAB,rural_settlement,salt,62510.0,22689.0,false,inland_saltworks,2,"",0,0,0.0,""
postojna,lower_carniola_province,HAB,rural_settlement,lumber,57610.0,18212.0,false,lumber_mill,2,"",0,0,0.0,""
menlu,upper_non_province,CHI,rural_settlement,fur,25100.0,7138.0,false,forest_village,0,"",0,0,0.0,""
bingol,harput_province,BIN,rural_settlement,livestock,58210.0,9283.0,false,"",0,farming_village,2,8,10000.0,workers
al_bad,madian_province,MAM,rural_settlement,fruit,7500.0,2569.0,false,"",0,fruit_orchard,0,0,0.0,land
gorodovikovsk,priyutnoye_province,GLH,rural_settlement,clay,31400.0,1498.0,false,clay_pit,0,"",0,0,0.0,""
baojing,yongshun_province,BJG,rural_settlement,tea,54300.0,24304.0,false,"",0,"",0,0,0.0,""
ribnitz,vorpommern_province,MKL,rural_settlement,wild_game,146050.0,28011.0,false,forest_village,2,farming_village,6,22,30000.0,cap
kanker,bastar_province,KNK,rural_settlement,rice,83440.0,38871.0,false,"",0,farming_village,6,7,30000.0,cap
faras,nobatia_province,MAK,rural_settlement,livestock,23140.0,21608.0,false,"",0,farming_village,0,0,0.0,land
chucalissa,chucalissa_province,QUZ,rural_settlement,clay,31600.0,7123.0,false,clay_pit,0,"",0,0,0.0,""
kastsyukovichy,mstsislaw_province,MSV,rural_settlement,fiber_crops,58710.0,5000.0,false,"",0,"",0,0,0.0,""
halas,csongrad_province,HUN,rural_settlement,legumes,93330.0,16026.999999999998,false,"",0,farming_village,6,14,30000.0,cap
daw_sud,nobatia_province,MAK,rural_settlement,sand,26210.0,26156.0,false,sand_pit,1,"",0,0,0.0,""
midu,shunning_province,CDL,rural_settlement,cotton,70200.0,4891.0,false,"",0,"",0,0,0.0,""
rohrbach,muhlviertel_province,HAB,rural_settlement,beeswax,130460.0,29677.0,false,"",0,farming_village,6,19,30000.0,cap
kashatagh,kachen_province,SYU,rural_settlement,livestock,40900.0,7128.0,false,"",0,farming_village,4,5,20000.0,workers
hudur,shebelle_province,AJU,rural_settlement,iron,28200.0,17442.0,false,iron_mine,2,"",0,0,0.0,""
leo,ouagadougou_province,OUA,rural_settlement,livestock,45700.0,15241.0,false,"",0,farming_village,3,5,15000.0,workers
mila,constantine_province,TUN,rural_settlement,olives,52000.0,15914.0,false,"",0,farming_village,3,6,15000.0,workers
xincheng_jinan,jinan_province,CHI,rural_settlement,wheat,146620.0,28266.0,false,"",0,farming_village,6,22,30000.0,cap
kibiro,kafu_province,BNY,rural_settlement,iron,41900.0,31066.0,false,iron_mine,0,"",0,0,0.0,""
jeonju,jeonju_province,KOR,city,cotton,139330.0,67172.0,false,"",0,"",0,0,0.0,""
arevalo,avila_province,CAS,rural_settlement,lumber,106730.0,37562.0,false,lumber_mill,2,"",0,0,0.0,""
thoulakhom,muang_phuan_province,VTN,rural_settlement,lumber,46800.0,10208.0,false,lumber_mill,1,"",0,0,0.0,""
mandor,sambas_province,SMB,rural_settlement,salt,50740.0,1434.0,false,salt_collector,0,"",0,0,0.0,""
calatanazor,soria_province,CAS,rural_settlement,livestock,65610.0,20763.0,false,"",0,farming_village,6,7,30000.0,cap
udgir,upper_marathwada,DLH,rural_settlement,cotton,115320.0,114139.0,false,"",0,"",0,0,0.0,""
thoubal,manipur_province,MLB,rural_settlement,lumber,64010.0,38145.0,false,lumber_mill,2,"",0,0,0.0,""
ochechiton,mitchigamea_province,CHK,rural_settlement,salt,29500.0,9447.000000000002,false,inland_saltworks,1,"",0,0,0.0,""
ladik,konya_province,KAR,rural_settlement,horses,39500.0,5200.0,false,"",0,"",0,0,0.0,""
liangquan,fengzhou_province,CHI,rural_settlement,wild_game,52900.0,5627.999999999999,false,forest_village,2,"",0,0,0.0,""
shamiram,daylam_province,GRG,rural_settlement,wool,37700.0,5194.0,false,"",0,sheep_farms,1,15,2000.0,workers
dinetah,shiewhibak_province,DNE,rural_settlement,stone,19700.0,891.0,false,stone_quarry,0,"",0,0,0.0,""
st_pol_de_leon,tregor_province,BRI,rural_settlement,horses,124940.0,45043.0,false,"",0,"",0,0,0.0,""
ullensvang,bergenhus_province,NOR,rural_settlement,fruit,8400.0,3301.0,false,"",0,fruit_orchard,0,0,0.0,land
luotian,huangzhou_province,CHI,rural_settlement,pepper,92850.0,90883.00000000001,false,"",0,"",0,0,0.0,""
domazlice,plzensko_province,BOH,rural_settlement,fur,129550.0,14919.0,false,forest_village,2,"",0,0,0.0,""
naiman,daning_province,CHI,rural_settlement,livestock,63500.0,6613.999999999999,false,"",0,farming_village,1,10,5000.0,workers
lebonghitam,lower_musi_province,PLB,rural_settlement,salt,35500.0,2828.0000000000005,false,salt_collector,1,"",0,0,0.0,""
reggiocal,calabria_ultra_province,NAP,rural_settlement,cotton,57900.0,30499.0,false,"",0,"",0,0,0.0,""
tenamaxtlan,autlan_province,TNX,rural_settlement,gems,63320.0,5540.999999999999,false,gem_gravel_pit,1,"",0,0,0.0,""
kawenote,adirondacks_province,KKA,rural_settlement,fruit,17200.0,777.0,false,"",0,fruit_orchard,0,2,0.0,workers
mozhga,sarapul_province,PRM,rural_settlement,lumber,44910.0,5473.0,false,lumber_mill,1,"",0,0,0.0,""
bojano,molise_province,NAP,rural_settlement,olives,171970.0,23311.0,false,"",0,farming_village,6,28,30000.0,cap
kengtung,kengtung_province,KTG,rural_settlement,wild_game,43100.0,17932.0,false,forest_village,1,"",0,0,0.0,""
monfort_lamaury,pays_france_province,MON,rural_settlement,wheat,86320.0,28563.0,false,"",0,farming_village,6,10,30000.0,cap
stavanger,rogaland_province,NOR,town,livestock,71710.0,8542.0,false,"",0,farming_village,4,11,20000.0,workers
odoyev,odoyev_province,NSL,rural_settlement,lumber,44600.0,9696.000000000002,false,lumber_mill,2,"",0,0,0.0,""
boldyzh,trubchevsk_province,BRY,rural_settlement,livestock,45500.0,11983.0,false,"",0,farming_village,5,5,25000.0,land
bogoroditsk,tula_russia_province,GLH,rural_settlement,wheat,57210.0,12680.0,false,"",0,farming_village,0,7,0.0,workers
sartene,pumonte_province,GEN,rural_settlement,lumber,43200.0,11769.0,false,lumber_mill,2,"",0,0,0.0,""
jecheon,chungju_province,KOR,rural_settlement,alum,48500.0,11158.0,false,alum_quarry,1,"",0,0,0.0,""
kaulas,warangal_province,DLH,rural_settlement,iron,102620.0,63023.99999999999,false,iron_mine,0,"",0,0,0.0,""
tysmenytsia,pocutia_province,HAL,rural_settlement,wool,68420.0,6666.0,false,"",0,sheep_farms,3,30,6000.0,workers
puebla_de_montalban,toledo_province,CAS,rural_settlement,wheat,79520.0,27124.0,false,"",0,farming_village,6,9,30000.0,cap
palestrina,campagna_province,PAP,rural_settlement,wine,101270.0,99536.99999999999,false,"",0,"",0,0,0.0,""
reigate,surrey_province,ENG,rural_settlement,wheat,172780.0,15916.0,false,"",0,farming_village,6,30,30000.0,cap
conghua,panyu_province,CHI,town,sugar,71600.0,70668.0,false,"",0,"",0,0,0.0,""
varsan,mughan_province,JAL,rural_settlement,medicaments,83220.0,12038.0,false,"",0,"",0,0,0.0,""
dep,upper_zeya_province,CHI,rural_settlement,lumber,15100.0,2333.9999999999995,false,lumber_mill,0,"",0,0,0.0,""
bhadrak,rajabandi,ORI,rural_settlement,sugar,175750.0,65147.00000000001,false,"",0,"",0,0,0.0,""
velikiye_luki,rzhevskaya_province,NOV,rural_settlement,lumber,48300.0,7676.0,false,lumber_mill,2,"",0,0,0.0,""
