ranking_group,location_tag,province,macro_region,area_km2,maximum_irrigation_capacity_people,maximum_land_improvement_capacity_people,maximum_infrastructure_capacity_people,maximum_population_capacity_development_100_people,validation_implausible_leader,validation_large_location_artifact,validation_permafrost_or_wasteland,validation_physically_unsupported_dryland
top,kajkwakratxi,juruena_province,south_america,28691.332368407053,18022.28914010429,2309311.9092062167,2327334.198346321,2365334.198346321,true,true,false,false
top,bomokandi,bomokandi_province,central_africa,33890.20369269222,33923.06501178333,2182392.8690570737,2216315.934068857,2254315.934068857,true,true,false,false
top,apure,apure_province,south_america,25695.00850260507,199218.07636861218,2031822.692620278,2231040.76898889,2250040.76898889,true,true,false,false
top,wimihsoorita,nodaway_province,north_america,10002.308603896126,0.0,2227448.382474826,2227448.382474826,2244448.382474826,false,false,false,false
top,araicuahita,guenoa_province,south_america,14054.82670826193,0.0,2184130.5540254447,2184130.5540254447,2222130.5540254447,false,false,false,false
top,ikuiapa,cuiaba_province,south_america,28018.53387926599,9473.804747850438,2154775.737586919,2164249.54233477,2202249.54233477,false,true,false,false
top,bohan,la_plata_province,south_america,8109.992701525087,3239.6007082558144,2071712.3751398006,2074951.9758480564,2091951.9758480564,false,false,false,false
bottom,kumukh,avaria_province,eastern_europe,1264.9306692732998,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,voikar,voikar_province,north_asia,4344.676427057593,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,kengdey,kuhuur_province,north_asia,2178.8858724069883,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,olekma,upper_lena_province,north_asia,4513.982597962996,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,crepy,beauvaisis_province,western_europe,884.1310096699558,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,tuyandina,north_yandin_province,north_asia,1932.476172919069,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,vilyuychan,tuyodakh_province,north_asia,7409.07082156555,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,rabor,jiroft_province,middle_east,2350.771937700208,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,shimushiru,chishima_province,east_asia,351.0105877160159,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,nunalla,wapusk_province,north_america,3996.306525907709,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,amga,amga_province,north_asia,4694.199668983966,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,ika_nepa,tokma_province,north_asia,6726.836841486144,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,siktyakh,kuhuur_province,north_asia,2626.486023560127,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,al_khuraybah,hadramawt_province,middle_east,4376.903078023767,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,kele,sangaar_province,north_asia,3294.7849425685104,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,sandnes,vestribygd,western_europe,1228.0511752224088,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,shamiram,daylam_province,middle_east,2521.987862098925,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,bojano,molise_province,western_europe,1346.1264085929695,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,ostrov_beringa,east_itelmen_province,north_asia,1365.5960561418794,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,tinnaya,eastern_sym_province,north_asia,4325.466372788895,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,niyaj,wichi_province,south_america,9881.511740345184,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,ust_mil,ayan_mai_province,north_asia,5479.325912113191,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,erbach,odenwald_province,western_europe,586.2426203251628,0.0,0.0,0.0,7000.0,false,false,false,false
bottom,tokuma,bagatai_province,north_asia,3291.603037967105,0.0,0.0,0.0,7000.0,false,false,true,false
bottom,salban,lungxa_province,north_asia,5080.092245998073,0.0,0.0,0.0,7000.0,false,false,true,false
