macro_region,metric,count,min,max,mean,median,std_dev,sum
middle_east,maximum_land_improvement_capacity_people,1262,0.0,102451.15915904481,302.2999730663996,0.0,4162.760372939665,381502.5660097963
middle_east,maximum_population_capacity_development_100_people,1262,7875.0,811773.6428466169,124818.19994208361,83603.36330876338,117933.815914206,157520568.3269095
north_africa,maximum_infrastructure_capacity_people,397,0.0,697487.2843297112,101560.93922868367,70001.00859093263,105671.41098906386,40319692.87378742
north_africa,maximum_irrigation_capacity_people,397,0.0,697487.2843297112,101560.93922868367,70001.00859093263,105671.41098906386,40319692.87378742
north_africa,maximum_land_improvement_capacity_people,397,0.0,0.0,0.0,0.0,0.0,0.0
north_africa,maximum_population_capacity_development_100_people,397,7875.0,798173.1948709252,160596.42187156383,118313.01725712292,136019.99728735632,63756779.48301084
north_america,maximum_infrastructure_capacity_people,3084,0.0,2657241.350322047,222087.0429252251,88854.15215502275,326508.14121439634,684916440.3813943
north_america,maximum_irrigation_capacity_people,3084,0.0,2341333.451226292,40267.89436363621,899.565377094981,152996.5056186272,124186186.21745406
north_america,maximum_land_improvement_capacity_people,3084,0.0,2654749.1854963223,181819.1485615889,51929.703241144205,307473.64078666567,560730254.1639402
north_america,maximum_population_capacity_development_100_people,3084,7875.0,3032146.5191123025,290536.1528628627,152863.05215523776,367858.50401448447,896013495.4290686
north_asia,maximum_infrastructure_capacity_people,874,0.0,702096.3212268328,29012.03368051751,0.0,71676.72232065449,25356517.436772306
north_asia,maximum_irrigation_capacity_people,874,0.0,403577.04151213844,5950.877459280217,0.0,28507.510330569377,5201066.89941091
north_asia,maximum_land_improvement_capacity_people,874,0.0,691967.2451110916,23061.156221237292,0.0,66984.74512779248,20155450.537361395
north_asia,maximum_population_capacity_development_100_people,874,7875.0,842733.3613801869,52176.72438943804,7875.0,91795.97350466324,45602457.116368845
north_atlantic_ocean_sub_continent,maximum_infrastructure_capacity_people,1,0.0,0.0,0.0,0.0,0.0,0.0
north_atlantic_ocean_sub_continent,maximum_irrigation_capacity_people,1,0.0,0.0,0.0,0.0,0.0,0.0
north_atlantic_ocean_sub_continent,maximum_land_improvement_capacity_people,1,0.0,0.0,0.0,0.0,0.0,0.0
north_atlantic_ocean_sub_continent,maximum_population_capacity_development_100_people,1,52875.0,52875.0,52875.0,52875.0,0.0,52875.0
pacific_islands,maximum_infrastructure_capacity_people,298,0.0,499874.6237156333,65085.034688765045,7040.40554458281,91555.71529206452,19395340.337251984
pacific_islands,maximum_irrigation_capacity_people,298,0.0,23432.00779843257,312.97149663700804,0.0,1826.0703885548176,93265.5059978284
pacific_islands,maximum_land_improvement_capacity_people,298,0.0,499874.6237156333,64772.06319212804,7040.40554458281,91113.7467540201,19302074.831254154
pacific_islands,maximum_population_capacity_development_100_people,298,7875.0,594294.6641436453,108386.35194432376,50177.25539740159,129401.9493805392,32299132.87940848
south_america,maximum_infrastructure_capacity_people,1357,0.0,3389010.0107202856,273774.37787734275,98217.33163688143,428065.5347214615,371511830.77955407
south_america,maximum_irrigation_capacity_people,1357,0.0,1348031.3369200742,27064.78623518243,910.2173751214381,77303.83430689752,36726914.921142556
south_america,maximum_land_improvement_capacity_people,1357,0.0,3358528.97935129,246709.59164216026,36590.28624930293,427751.0105310335,334784915.8584115
south_america,maximum_population_capacity_development_100_people,1357,7875.0,3872261.2620603214,342894.3880817968,154564.00748103936,478997.3093610893,465307684.6269983
south_asia,maximum_infrastructure_capacity_people,1230,0.0,716724.115158694,103230.31036682204,64163.73328240652,113783.1675736878,126973281.75119111
south_asia,maximum_irrigation_capacity_people,1230,0.0,716724.115158694,66559.29728833906,34961.9042477918,92116.94549583172,81867935.66465704
south_asia,maximum_land_improvement_capacity_people,1230,0.0,591287.37143422,36671.01307848298,0.0,82542.81845165559,45105346.08653407
south_asia,maximum_population_capacity_development_100_people,1230,7875.0,1006647.8489746606,184729.83086999189,143928.7278717924,149902.98423264438,227217691.97009
south_atlantic_sub_continent,maximum_infrastructure_capacity_people,1,0.0,0.0,0.0,0.0,0.0,0.0
south_atlantic_sub_continent,maximum_irrigation_capacity_people,1,0.0,0.0,0.0,0.0,0.0,0.0
south_atlantic_sub_continent,maximum_land_improvement_capacity_people,1,0.0,0.0,0.0,0.0,0.0,0.0
south_atlantic_sub_continent,maximum_population_capacity_development_100_people,1,7875.0,7875.0,7875.0,7875.0,0.0,7875.0
south_east_asia,maximum_infrastructure_capacity_people,1044,0.0,608014.9048513109,164423.13050065833,147299.78240754723,113358.66793676824,171657748.24268728
south_east_asia,maximum_irrigation_capacity_people,1044,0.0,151999.88051624637,8870.010729151074,739.0472022943516,17169.694765248416,9260291.20123372
south_east_asia,maximum_land_improvement_capacity_people,1044,0.0,608014.9048513109,155553.11977150725,138955.490725996,111327.41177553436,162397457.04145357
south_east_asia,maximum_population_capacity_development_100_people,1044,7875.0,920865.260956162,235778.82353737857,218163.53008618683,146112.00888096282,246153091.77302322
southern_africa,maximum_infrastructure_capacity_people,293,0.0,1158458.0336605515,100498.84532807078,39229.667946381924,145111.09567727882,29446161.681124736
southern_africa,maximum_irrigation_capacity_people,293,0.0,1158458.0336605515,94931.80157009428,27687.006581670266,144248.0817354484,27815017.860037625
southern_africa,maximum_land_improvement_capacity_people,293,0.0,335865.4689862412,5567.043757976489,0.0,34219.83024611017,1631143.8210871115
southern_africa,maximum_population_capacity_development_100_people,293,7875.0,1312265.2878681205,157047.54911694652,93539.92633186886,175783.23326730254,46014931.89126533
west_africa,maximum_infrastructure_capacity_people,575,0.0,1312613.5660159055,144694.85615353094,80431.77419017316,178573.42051641928,83199542.2882803
west_africa,maximum_irrigation_capacity_people,575,0.0,1087688.6708730238,86122.66951509152,44331.85076216728,117526.30804300388,49520534.97117762
west_africa,maximum_land_improvement_capacity_people,575,0.0,1047419.85554468,58572.18663843944,0.0,155216.05529538923,33679007.31710268
west_africa,maximum_population_capacity_development_100_people,575,7875.0,1517190.2617678936,209824.3218683745,150332.6916935888,201777.41149522425,120648985.07431534
western_europe,maximum_infrastructure_capacity_people,2773,0.0,104438.20781151351,7531.4385951297,1157.1017264835705,13217.369628415152,20884679.22429466
western_europe,maximum_irrigation_capacity_people,2773,0.0,80913.79532861043,2062.450773934424,56.49742060245198,6723.394995734113,5719175.996120158
western_europe,maximum_land_improvement_capacity_people,2773,0.0,103228.45592570385,5468.987821195276,0.0,11725.694946546506,15165503.228174502
western_europe,maximum_population_capacity_development_100_people,2773,7875.0,321989.1482361537,32277.998242816982,23518.995138514496,31440.000376304117,89506889.1273315
