global_rank,province,macro_region,location_count,maximum_irrigation_capacity_people,maximum_land_improvement_capacity_people,maximum_infrastructure_capacity_people,maximum_population_capacity_development_100_people
36,lukenie_province,central_africa,8,28975.256580474976,5618959.208792064,5647934.46537254,5866934.46537254
37,mayangna_province,north_america,9,175805.97525190463,5435341.867455947,5611147.842707851,5861147.842707851
38,cameroon_plateau_province,central_africa,6,110656.22507314332,5592259.3314315025,5702915.556504645,5856915.556504645
39,kordofan_province,east_africa,10,5565869.938588465,0.0,5565869.938588465,5802869.938588465
40,yazoo_province,north_america,5,111958.97717016948,5612299.085010013,5724258.062180182,5766258.062180182
41,barinas_province,south_america,6,309171.1845158508,5233325.798638749,5542496.9831546,5732496.9831546
42,scioto_province,north_america,6,1615.6120051918306,5587819.8005055655,5589435.412510756,5687435.412510756
43,moingwena_province,north_america,3,7559.491675917396,5592531.2137211645,5600090.705397082,5652090.705397082
44,ulindi_province,east_africa,8,214303.26635691366,4552658.562406163,4766961.828763077,5604961.828763077
45,papamane_province,south_america,8,14605.503744070338,5449879.351082889,5464484.85482696,5575484.85482696
46,yopo_province,south_america,8,68687.07879186762,5153112.601040233,5221799.679832101,5495799.679832101
47,bandundu_province,central_africa,7,165227.30714121886,4997173.423225021,5162400.730366239,5479400.730366239
48,tanabi_province,south_america,4,4784.81521138476,5422874.179000723,5427658.994212108,5475658.994212108
49,lomami_province,central_africa,9,152240.8753417706,4964340.449043412,5116581.324385183,5383581.324385183
50,mineami_province,north_america,4,10809.231794332598,5133004.443725259,5143813.675519592,5229813.675519592
51,kuskatan_province,north_america,8,40285.083598752535,5066818.635784871,5107103.719383623,5209103.719383623
52,natchitoches_province,north_america,5,54955.22322525416,4978380.793154471,5033336.016379725,5077336.016379725
53,north_lunda_province,central_africa,6,123323.05098435016,4707026.7413350465,4830349.7923193965,4952349.7923193965
54,minnetonka_province,north_america,6,2112.5823420405004,4839714.458235191,4841827.040577232,4927827.040577232
55,icabaqua_province,south_america,5,88259.41068754824,4780593.505596729,4868852.916284277,4917852.916284277
56,natahende_province,north_america,9,4601219.1196225,0.0,4601219.1196225,4916219.1196225
57,hokah_province,north_america,5,36310.39283535963,4821794.566329573,4858104.959164932,4914104.959164932
58,pokemaga_province,north_america,6,18470.47672755801,4745493.701509955,4763964.178237514,4908964.178237514
59,imabite_province,north_america,7,233397.93977474046,4061360.307439487,4294758.247214228,4812758.247214228
60,kishwaukee_province,north_america,4,6754.258854063576,4675774.971587062,4682529.230441125,4760529.230441125
61,mearim_province,south_america,9,166400.37270759552,4398911.622042882,4565311.994750477,4757311.994750477
62,upper_guapore_province,south_america,8,9224.040356782984,4525125.366991811,4534349.407348594,4749349.407348594
63,cholistan_province,south_asia,11,4059479.9578381516,0.0,4059479.9578381516,4675479.957838152
64,curuai_province,south_america,9,100482.35884376,4199238.861931546,4299721.220775306,4659721.220775305
65,chucalissa_province,north_america,4,76744.03373615765,4500025.287747842,4576769.321484,4635769.321484
66,sanaga_province,central_africa,4,14125.221140055855,4495349.837069223,4509475.058209279,4621475.058209279
67,cochimi_province,north_america,5,4482431.687329884,0.0,4482431.687329884,4611431.687329884
68,towosaghy_province,north_america,4,105473.31112515458,4420693.667522183,4526166.978647336,4598166.978647336
69,hwalbay_province,north_america,6,4169800.089299294,0.0,4169800.089299294,4594800.089299294
70,taquari_province,south_america,6,10038.29890343507,4374179.300270499,4384217.599173933,4592217.599173933
71,kalamazoo_province,north_america,5,22222.2248854494,4335637.507436493,4357859.732321943,4456859.732321943
72,yupangathi_province,australasia,9,16603.413474622463,4122539.3472177275,4139142.7606923496,4384142.76069235
73,wea_province,north_america,3,65.25722591636999,4292791.577629746,4292856.834855663,4325856.834855663
74,ocheyedan_province,north_america,3,9007.46588134529,4211066.066355713,4220073.532237058,4293073.532237058
75,atchakangouen_province,north_america,4,7302.863859082765,4170728.8704247065,4178031.734283789,4211031.734283789
76,yinggarda_province,australasia,7,4081731.575123189,0.0,4081731.575123189,4194731.575123189
77,chuapa_province,central_africa,5,8379.07215337921,4042846.954912037,4051226.0270654163,4131226.0270654163
78,neosho_province,north_america,4,91178.65897285887,3881700.016750074,3972878.6757229324,4094878.675722933
79,uberaba_province,south_america,5,3667.485642789324,4005307.9114054716,4008975.397048261,4086975.397048261
80,northern_sindh_province,south_asia,10,3804465.150235602,0.0,3804465.150235602,4086465.150235602
81,mengakonkia_province,north_america,3,36258.0479931689,3969011.2898343,4005269.337827469,4038269.337827469
82,east_lekumu_province,central_africa,5,50241.50020935327,3870760.575279955,3921002.075489308,4024002.075489308
83,kaskinampo_province,north_america,9,16705.466647336503,3912354.115190039,3929059.5818373756,4018059.5818373756
84,pantanal_province,south_america,5,14099.483940189584,3891004.094927342,3905103.578867532,3984103.578867532
85,kinhasa_province,central_africa,9,140657.46137723353,3110028.873899016,3250686.3352762493,3977686.3352762493
86,xingu_province,south_america,3,32022.886016857883,3868499.766904303,3900522.652921161,3937522.6529211607
87,guwevkabaya_province,north_america,8,3499391.1817811322,0.0,3499391.1817811322,3916391.1817811322
88,macuxi_province,south_america,5,9208.356383176633,3717833.91526742,3727042.2716505965,3854042.2716505965
89,mamullmapu_province,south_america,10,3645849.9941419335,0.0,3645849.9941419335,3851849.9941419335
90,pindare_province,south_america,7,82617.85292223973,3621405.4396198727,3704023.292542112,3844023.292542112
91,sanjiang_province,east_asia,5,34601.6565474622,3725946.8401200175,3760548.49666748,3839548.49666748
92,wapinippi_province,north_america,3,1705.3327173283633,3784726.5867088214,3786431.9194261497,3821431.9194261497
93,mudan_province,east_asia,6,1019.8439292994539,3658160.4077778235,3659180.251707123,3732180.251707123
94,sandusky_province,north_america,4,18601.281117202085,3639254.2072573327,3657855.488374535,3715855.488374535
95,nandeva_province,south_america,6,21557.378697164615,3582925.4881422045,3604482.8668393693,3704482.8668393693
96,kentucky_province,north_america,4,5688.651207030004,3599952.794339743,3605641.4455467733,3683641.4455467733
97,kanawha_province,north_america,9,815.1840481733204,3574384.7413776238,3575199.925425797,3664199.925425797
98,cameroon_ridge_province,central_africa,6,126392.55129490187,3304841.7014251314,3431234.2527200337,3613234.2527200337
99,north_moxico_province,central_africa,16,344544.4881745885,2142503.1306925253,2487047.6188671137,3594047.6188671137
100,natchez_province,north_america,3,26310.1792714314,3511657.2564709918,3537967.435742423,3572967.435742423
101,upper_songhua_province,east_asia,6,2978.718181963367,3470452.6193692368,3473431.3375512003,3555431.3375512003
102,pacaha_province,north_america,3,267281.51424308855,3226028.8147896184,3493310.329032707,3530310.329032707
103,derajat_province,south_asia,12,2942737.532472558,0.0,2942737.532472558,3486737.5324725583
104,mendota_province,north_america,3,2504.3745696122514,3400333.878012959,3402838.2525825715,3444838.2525825715
105,checagou_province,north_america,3,15869.454036421037,3293946.955172228,3309816.4092086493,3422816.4092086493
106,coyaima_province,south_america,7,27132.671805428483,3033532.5307170283,3060665.202522457,3419665.202522457
107,umbindhamu_province,australasia,9,0.0,2930098.900634302,2930098.900634302,3413098.900634302
108,south_darfur_province,east_africa,7,3112876.9545400464,0.0,3112876.9545400464,3385876.9545400464
109,dadi_dadi_province,australasia,9,3045951.199795926,0.0,3045951.199795926,3374951.199795926
110,mitchigamea_province,north_america,3,66135.22391519521,3276172.684122077,3342307.9080372723,3374307.9080372723
111,tahejoc_province,north_america,8,3019197.184016723,0.0,3019197.184016723,3371197.184016723
112,meskousing_province,north_america,4,12269.153840644387,3318586.809821528,3330855.9636621727,3363855.9636621727
113,lewekomi_province,north_america,3,14076.441902269997,3268066.381016676,3282142.822918946,3354142.822918946
114,suchiimma_province,south_america,10,485387.15454655414,2588999.1758682774,3074386.3304148316,3352386.3304148316
115,hulan_province,east_asia,5,10681.615812999815,3153556.156695596,3164237.772508596,3320237.772508596
116,lower_bureya_province,east_asia,7,3446.8686446353217,3179665.1112039844,3183111.9798486196,3301111.9798486196
117,paranaiba_province,south_america,12,511269.1236726745,2344556.80789355,2855825.931566225,3294825.931566225
118,cadegomo_province,north_america,5,3175457.8477622485,0.0,3175457.8477622485,3258457.8477622485
119,madeira_brazil_province,south_america,7,33698.139010269144,3103887.6416819147,3137585.780692184,3244585.780692184
120,millioke_province,north_america,4,15617.088914793874,3157442.767965763,3173059.856880557,3203059.856880557
121,piankeshaw_province,north_america,3,8472.384004559677,3156042.9458547523,3164515.3298593117,3191515.3298593117
122,dingliao_province,east_asia,6,2786.473701027478,2977129.5594485225,2979916.03314955,3174916.03314955
123,suzhou_province,east_asia,6,52362.45291714945,1155345.557749609,1207708.0106667583,3162708.0106667588
124,katagalugan_province,south_east_asia,11,65580.04702507397,2169321.1277022786,2234901.174727353,3159901.174727353
125,zinacantan_province,north_america,7,27952.370245227743,3010151.221655052,3038103.5919002797,3156103.5919002797
126,charquis_province,north_america,3,43009.28137810938,3056050.8598865406,3099060.14126465,3155060.14126465
127,kankakee_province,north_america,3,8859.519653701867,3123611.403856863,3132470.9235105645,3153470.9235105645
128,higuey_province,north_america,6,73974.86218766504,2586931.824332448,2660906.686520113,3151906.686520113
129,chickasaw_province,north_america,6,76091.2099095885,3029046.405727576,3105137.6156371646,3151137.6156371646
130,chadimapu_province,south_america,15,2700542.4211231074,0.0,2700542.4211231074,3133542.421123107
131,nekokiaw_province,north_america,5,34444.327301231075,2698419.2427628716,2732863.5700641028,3129863.5700641028
132,marwar,south_asia,9,2359885.960710479,0.0,2359885.960710479,3119885.960710479
133,guapore_province,south_america,6,17238.639717818645,3009448.764454319,3026687.404172138,3103687.404172138
134,nishnabotna_province,north_america,3,22186.20903906958,3014196.0584262027,3036382.2674652725,3101382.2674652725
135,zaklohpakab_province,north_america,4,145115.9650921416,2785463.3174553756,2930579.282547517,3074579.282547517
136,imbau_province,south_america,5,0.0,3010369.1438824474,3010369.1438824474,3067369.1438824474
137,mojave_province,north_america,5,2902246.417196112,0.0,2902246.417196112,3058246.417196112
138,tchokana_province,north_america,6,2882243.895800467,0.0,2882243.895800467,3054243.895800467
139,lower_moshiko_province,central_africa,8,337448.0293831137,2225189.2926640855,2562637.322047199,3034637.322047199
140,moyen_ogoowe_province,central_africa,7,2073.194737626563,2724897.6328302,2726970.827567826,3033970.827567826
141,cuyahoga_province,north_america,4,4033.0251728974945,2947172.0824596277,2951205.1076325253,3015205.1076325253
142,paramaribo_province,south_america,8,0.0,2763919.757739916,2763919.757739916,3011919.757739916
143,itapecuru_province,south_america,5,166108.9141086424,2713818.270687341,2879927.184795984,3007927.184795984
144,ciwat_province,north_america,3,13309.90405456733,2905501.7058414673,2918811.6098960345,3001811.6098960345
145,ogoowe_benje_province,central_africa,9,1492.6956693473078,2806740.0170483217,2808232.712717669,2999232.712717669
146,cayas_province,north_america,4,62350.34837484985,2871559.774032149,2933910.1224069986,2997910.1224069986
147,chequamegon_province,north_america,5,8125.440762010958,2864192.961078785,2872318.4018407958,2995318.4018407958
148,minitig_province,north_america,11,3355.7759606836917,2533460.118206463,2536815.8941671466,2992815.8941671466
149,jacui_province,south_america,6,28895.368225946808,2854706.2211308507,2883601.5893567977,2976601.5893567977
150,mindanao_province,south_east_asia,9,44886.143399967455,2727429.0627233656,2772315.206123333,2960315.206123333
151,colombayma_province,south_america,8,9495.887635912388,2718356.404361955,2727852.2919978676,2956852.2919978676
152,yadhaigana_province,australasia,7,14678.260259277784,2706243.6453792057,2720921.9056384834,2948921.9056384834
153,east_igbo_province,west_africa,6,55413.28363870374,2666331.178675386,2721744.4623140898,2929744.4623140898
154,nyanga_province,central_africa,7,17241.387339848545,2186586.3130568466,2203827.700396695,2921827.700396695
155,chiquitania_province,south_america,11,5396.588087272703,2574744.280652497,2580140.86873977,2916140.86873977
156,tangwang_province,east_asia,4,1841.4106144677496,2885622.4725066433,2887463.883121111,2915463.883121111
157,lukassi_province,central_africa,9,198013.66003265456,2191161.0322171603,2389174.692249815,2914174.692249815
158,djabuganjdji_province,australasia,9,0.0,2667750.1510121906,2667750.1510121906,2912750.1510121906
159,atacames_province,south_america,6,15462.56765356653,2725875.526439564,2741338.0940931304,2900338.0940931304
160,chemewevi_province,north_america,6,2648795.289897435,0.0,2648795.289897435,2887795.289897435
161,jangladesh,south_asia,11,2552339.6168448883,0.0,2552339.6168448883,2882339.616844889
162,catahoula_province,north_america,3,49220.26423024792,2753407.0987987826,2802627.36302903,2873627.36302903
163,kpelle_province,west_africa,4,68405.89798359323,2693384.7958286763,2761790.6938122697,2869790.6938122697
164,headdhetanwan_province,north_america,3,88315.24592594946,2669230.4162720176,2757545.662197967,2860545.662197967
165,havana_province,north_america,11,453287.09849800915,1968074.9871848447,2421362.085682854,2855362.085682854
166,maniani_province,north_america,4,22616.84666887038,2671529.965069143,2694146.8117380138,2850146.8117380138
167,ouachita_province,north_america,6,42870.086528855136,2721876.643965986,2764746.7304948415,2842746.7304948415
168,upper_non_province,east_asia,6,1381.6607564066326,2798422.409756335,2799804.070512742,2841804.070512742
169,paraiba_province,south_america,7,2396173.280541637,0.0,2396173.280541637,2823173.280541637
170,purnia_province,south_asia,6,595091.9985091568,1292539.2333514465,1887631.2318606032,2821631.231860603
171,bindal_province,australasia,10,371903.6883841717,1987956.9927900394,2359860.681174211,2820860.681174211
172,essequibo_province,south_america,5,0.0,2681812.1450828956,2681812.1450828956,2813812.1450828956
173,siyathemba_province,southern_africa,6,2655769.040206853,0.0,2655769.040206853,2803769.040206853
174,cumaribo_province,south_america,5,13631.895628710321,2731267.2322804765,2744899.1279091868,2800899.1279091868
175,cuauhtemallan_province,north_america,5,41165.10812102519,2504088.4068368976,2545253.514957923,2800253.514957923
176,nechi_province,south_america,9,15264.617900250518,2528971.0220113774,2544235.639911628,2796235.6399116283
177,north_sangha_province,central_africa,5,18566.44655646425,2630349.7245052652,2648916.171061729,2795916.171061729
178,dan_province,west_africa,3,119951.60966782941,2447324.548575346,2567276.1582431756,2789276.1582431756
179,baro_bhuyan_province,south_asia,11,246335.62828380134,1767427.9048938227,2013763.5331776242,2786763.533177624
180,tah_itza_province,north_america,5,255220.66307459478,2372230.9876338034,2627451.6507083983,2780451.6507083983
181,cacaxtles_province,north_america,8,2232965.8487643613,0.0,2232965.8487643613,2774965.848764361
182,arua_province,south_america,7,135335.70251104937,2297905.2742935633,2433240.9768046127,2772240.9768046127
183,ivai_province,south_america,5,411.3499456380913,2693742.856672444,2694154.206618082,2772154.206618082
184,aniyutsi_province,north_america,4,6941.147234093045,2708282.6560404487,2715223.8032745416,2767223.803274542
185,guinean_coast_province,west_africa,6,528926.5076312214,2000065.6599162084,2528992.16754743,2756992.16754743
186,huangzhou_province,east_asia,9,2946.5564263927945,2006883.329996326,2009829.8864227189,2745829.886422719
187,kakol_kiej_province,north_america,4,95428.3048830296,2126397.004069551,2221825.30895258,2745825.30895258
188,south_benin_province,west_africa,7,56142.012429135415,2025245.8425966064,2081387.8550257417,2738387.8550257417
189,sirhan_province,middle_east,7,2602616.174524789,0.0,2602616.174524789,2726616.174524789
190,iboina_province,east_africa,10,182945.745443101,2028872.1892106244,2211817.9346537255,2715817.9346537255
191,anilco_province,north_america,4,80114.55880438705,2602094.053169405,2682208.611973792,2710208.611973792
192,mbanza_kongo_province,central_africa,8,126311.74598337176,2415517.0103971986,2541828.7563805706,2685828.7563805706
193,tagloc_province,south_east_asia,8,18504.23601582956,2083503.5084164264,2102007.7444322556,2683007.7444322556
194,taif_province,middle_east,8,2539613.5125352805,0.0,2539613.5125352805,2680613.5125352805
195,mathoskabde_province,north_america,4,1526.474854859534,2607396.2134778025,2608922.688332662,2675922.688332662
196,orayvi_province,north_america,9,2191814.8430348,0.0,2191814.8430348,2670814.8430348
197,talisi_province,north_america,6,9342.52183128169,2600333.9584064824,2609676.4802377643,2668676.4802377643
198,tsoto_province,north_america,5,70302.87869827138,2449175.638896338,2519478.5175946094,2656478.5175946094
199,south_sangha_province,central_africa,5,105171.67002062996,2032387.9982956862,2137559.6683163163,2641559.6683163163
200,bettiah_province,south_asia,6,296521.43655237573,1798791.274575395,2095312.7111277706,2641312.711127771
201,capachequi_province,north_america,6,68698.09919666234,2510527.838234801,2579225.9374314635,2639225.9374314635
202,yoli_province,north_america,13,1763431.5396834663,0.0,1763431.5396834663,2637431.5396834663
203,shamokin_province,north_america,8,1468.978983374186,2489345.505919227,2490814.484902601,2612814.484902601
204,cirebon_province,south_east_asia,7,66688.43760963978,1065762.2600272265,1132450.6976368662,2612450.6976368665
205,gorakhpur_province,south_asia,6,370085.35973500425,1804251.0448364504,2174336.4045714545,2606336.4045714545
206,pikunmapu_province,south_america,15,637988.736195367,1178833.8866584941,1816822.6228538612,2592822.622853861
207,bulbancha_province,north_america,4,21934.515600013507,2522751.490430109,2544686.0060301227,2587686.0060301227
208,upper_sindh_province,south_asia,6,2515040.141024221,0.0,2515040.141024221,2571040.141024221
209,lower_sindh_province,south_asia,10,2391073.197166868,0.0,2391073.197166868,2564073.197166868
210,ciid_province,east_africa,6,2452878.7333087707,0.0,2452878.7333087707,2558878.7333087707
211,bari_doab_province,south_asia,8,2342757.808157758,0.0,2342757.808157758,2552757.808157758
212,haud_province,east_africa,10,2159328.317680425,0.0,2159328.317680425,2541328.317680425
213,lualaba_province,central_africa,9,336146.2215550218,1904581.6937502255,2240727.915305247,2538727.915305247
214,wassulu_province,west_africa,4,433991.461488676,1971882.2962076778,2405873.757696354,2532873.757696354
215,cootcla_province,north_america,6,9974.35286486528,2468739.694491634,2478714.0473564994,2532714.0473564994
216,merina_province,east_africa,7,100993.96916020359,1850892.9526721004,1951886.921832304,2482886.921832304
217,niagara_province,north_america,5,11178.06571767338,2343355.3376059746,2354533.403323648,2482533.403323648
218,atbai_province,east_africa,5,2370674.0136493165,0.0,2370674.0136493165,2468674.0136493165
219,central_visayas_province,south_east_asia,4,16621.73200400763,1228689.1356582483,1245310.8676622561,2455310.867662256
220,ogoowe_ivindo_province,central_africa,5,3432.2505747280534,2303044.230141519,2306476.480716247,2448476.480716247
221,aksu_province,east_asia,7,2127554.530751768,120388.85594992965,2247943.386701698,2433943.386701698
222,bahraich_province,south_asia,5,355142.4156851907,1670433.4888473442,2025575.9045325348,2433575.9045325345
223,darbhanga_province,south_asia,6,328800.7912352495,1727913.9580974267,2056714.7493326762,2429714.749332676
224,sangmelima_province,central_africa,5,11.955201206693657,2358523.2736631758,2358535.2288643825,2426535.2288643825
225,ganatchio_province,north_america,4,3694.206277628754,2265903.133159846,2269597.3394374745,2425597.3394374745
226,panama_province,north_america,8,19736.236155672646,1918395.150126921,1938131.3862825937,2417131.386282594
227,mbalundu_province,central_africa,8,220602.2362079073,1821922.6188003204,2042524.8550082278,2416524.8550082278
228,nuomin_province,east_asia,5,21026.92720547502,2281519.313646676,2302546.240852151,2409546.240852151
229,lower_non_province,east_asia,6,84275.79255212324,2135056.9710989133,2219332.763651036,2399332.7636510367
230,mahkato_province,north_america,6,55106.997987256764,2102353.660200166,2157460.658187423,2398460.658187423
231,prey_nokor_province,south_east_asia,6,136902.22171864592,1813806.1413472001,1950708.3630658458,2382708.363065846
232,bahr_al_jabal_province,east_africa,8,832598.8410180203,1217959.9783528182,2050558.8193708386,2375558.8193708383
233,chubut_province,south_america,10,1057531.9002988848,694408.7787962058,1751940.6790950906,2354940.6790950904
234,azamgarh_province,south_asia,6,620314.5550470199,1013045.0425289695,1633359.5975759893,2349359.5975759896
235,magua_province,north_america,8,76444.64531016657,1585374.4127544628,1661819.058064629,2319819.0580646293
236,oceko_sipiy_province,north_america,5,10585.195193816398,2219143.83987136,2229729.0350651764,2314729.0350651764
237,erie_province,north_america,6,2301.6802818710958,2252619.7342653875,2254921.414547259,2308921.414547259
238,eseka_province,west_africa,5,5266.271972625405,2181259.150690117,2186525.4226627424,2300525.4226627424
239,nemadji_province,north_america,4,16100.042649866147,1827128.1610836096,1843228.2037334756,2284228.203733476
240,otolum_province,north_america,4,157642.03839920726,1958930.472789712,2116572.511188919,2280572.511188919
241,burugardi_province,australasia,8,91189.99766732479,1995448.4988713018,2086638.4965386265,2277638.4965386265
242,butalmapu_province,south_america,5,316081.85872703756,1828066.959102294,2144148.8178293314,2277148.8178293314
243,sibi_province,south_asia,9,2104696.450814939,0.0,2104696.450814939,2266696.450814939
244,shebelle_province,east_africa,7,1895076.9839599556,0.0,1895076.9839599556,2266076.9839599556
245,wangkamana_province,australasia,7,2038778.876236763,0.0,2038778.876236763,2265778.876236763
246,xoo_province,southern_africa,4,1965270.5094390125,0.0,1965270.5094390125,2262270.5094390125
247,cocamas_province,south_america,7,1507.2906707815687,2016518.9783188452,2018026.2689896268,2257026.268989627
248,jaragua_province,north_america,9,130204.90685699886,1778588.6265746802,1908793.5334316792,2248793.533431679
249,piquiri_province,south_america,7,0.0,1954567.3530808373,1954567.3530808373,2243567.353080837
250,ader_province,west_africa,6,2133027.6799312043,0.0,2133027.6799312043,2236027.6799312043
251,chinook_province,north_america,5,112715.48092913452,2001555.671904546,2114271.1528336806,2233271.1528336806
252,futa_jalon_province,west_africa,6,78142.33024013639,2055793.8781662534,2133936.2084063897,2232936.2084063897
253,timucua_province,north_america,4,135885.34941954515,1727154.8009797437,1863040.150399289,2220040.150399289
254,sacramento_province,north_america,5,1537017.1616660417,485369.11656857445,2022386.2782346164,2216386.2782346164
255,southern_highland_province,south_east_asia,5,75129.3827402489,2092635.308640008,2167764.691380257,2215764.691380257
256,hawaastatkiicu_province,north_america,6,2028346.829319334,0.0,2028346.829319334,2214346.8293193337
257,tkaronto_province,north_america,6,7186.344708356251,2101479.752172999,2108666.096881355,2204666.096881355
258,west_lekumu_province,central_africa,4,62210.87077764826,2021207.7194335843,2083418.5902112327,2197418.5902112327
259,tehuantepec_province,north_america,5,145031.43069595372,1909824.8052618545,2054856.235957808,2188856.235957808
260,upper_kagera_province,east_africa,5,94627.80982664744,840736.7134340886,935364.523260736,2183364.523260736
261,xun_province,southern_africa,7,1971903.8225845885,0.0,1971903.8225845885,2180903.8225845885
262,raipur_garjats,south_asia,11,1388152.3896417862,10615.118386637323,1398767.5080284234,2168767.5080284234
263,boriken_province,north_america,6,52594.38667277025,1629901.504794838,1682495.891467608,2167495.891467608
264,jinhua_province,east_asia,7,5352.110463284744,649626.4342334423,654978.5446967271,2164978.544696727
265,karegnondi_province,north_america,4,26210.794894052637,1956549.6741100228,1982760.4690040753,2164760.4690040755
266,ouaka_province,central_africa,5,251890.45760342138,1811017.2497988031,2062907.7074022247,2160907.7074022247
267,akokisa_province,north_america,5,87817.82464526816,1489067.5293179024,1576885.3539631707,2160885.3539631707
268,gana_province,southern_africa,5,2060635.9229153418,0.0,2060635.9229153418,2159635.922915342
269,miranda_province,south_america,6,0.0,1838346.8911840883,1838346.8911840883,2156346.8911840883
270,waawiiyaataanong_province,north_america,4,18686.32219340247,1957527.250542252,1976213.5727356547,2149213.5727356547
271,pahang_province,south_east_asia,5,9720.410282071174,2098369.189446597,2108089.599728668,2144089.599728668
272,chawasha_province,north_america,3,8603.255523040443,2025406.7486022878,2034010.0041253283,2141010.0041253283
273,khairabad_province,south_asia,5,387441.3846932962,1033695.9584187501,1421137.3431120464,2140137.3431120464
274,northern_yokut_province,north_america,5,1473625.6446268042,328131.17458897876,1801756.819215783,2137756.819215783
275,muling_province,east_asia,5,19980.282761555303,1598804.0131932255,1618784.2959547807,2128784.2959547807
276,boojwiikwedong_province,north_america,5,23372.65323017281,2037545.325522797,2060917.9787529698,2123917.9787529698
277,sumbawa_province,south_east_asia,8,58630.896306578186,1678375.4130154229,1737006.3093220012,2118006.3093220014
278,badimala_province,australasia,8,1733128.6180523168,0.0,1733128.6180523168,2113128.618052317
279,bure_province,west_africa,4,358778.28537507297,1617311.0643086089,1976089.349683682,2111089.349683682
280,inner_iboina_province,east_africa,6,86968.53636374522,1852328.9681682875,1939297.5045320329,2094297.5045320329
281,itapeva_province,south_america,6,418.9577129395505,1916527.5966467788,1916946.5543597182,2085946.5543597182
282,pajang_province,south_east_asia,6,67789.32714241491,1572073.2364548517,1639862.5635972666,2085862.5635972666
283,ceibal_province,north_america,6,29888.220433017726,1716009.2596985493,1745897.480131567,2083897.480131567
284,coatzacoalco_province,north_america,5,90098.87712356333,1478203.8378123958,1568302.714935959,2069302.7149359593
285,chittagong_province,south_east_asia,7,79289.07853183374,1170010.437820193,1249299.5163520267,2066299.5163520267
