expected_macro_region,tracking_role,province,global_rank,macro_region,location_count,maximum_irrigation_capacity_people,maximum_land_improvement_capacity_people,maximum_infrastructure_capacity_people,maximum_population_capacity_development_100_people
south_america,constrained_low,yaghan_province,3063,south_america,6,0.0,0.0,0.0,154125.0
south_asia,expected_high,kalahandi_garjat,517,south_asia,18,402350.24642139283,0.0,402350.24642139283,1772269.027224067
south_asia,representative_middle,meghalaya_province,361,south_asia,8,32557.602434386474,1243374.537136242,1275932.1395706285,2073298.6570169572
south_asia,constrained_low,laccadive_province,3811,south_asia,1,0.0,0.0,0.0,7875.0
south_east_asia,expected_high,timor_province,593,south_east_asia,8,43652.7560479161,742326.6119363301,785979.3679842462,1635726.788982277
south_east_asia,representative_middle,htamanthi_province,856,south_east_asia,6,36584.88767887872,976481.4191425607,1013066.3068214394,1256699.5951741193
south_east_asia,constrained_low,tru_vien_province,2969,south_east_asia,2,0.0,52992.136634533876,52992.136634533876,174366.1537138506
southern_africa,expected_high,xun_province,261,southern_africa,7,1971903.8225845885,0.0,1971903.8225845885,2453516.800407662
southern_africa,representative_middle,upper_runde_province,3041,southern_africa,4,19418.672404629455,0.0,19418.672404629455,159096.00645520812
southern_africa,constrained_low,karas_province,2807,southern_africa,4,150435.18469422022,0.0,150435.18469422022,215364.58278099773
west_africa,expected_high,baoule_province,1496,west_africa,5,311580.5944909385,220745.05469695525,532325.6491878938,759741.3553363805
west_africa,representative_middle,mende_province,651,west_africa,5,48492.030292516305,1214395.991783061,1262888.0220755772,1538874.0248350245
west_africa,constrained_low,kawar_province,1626,west_africa,6,365161.4516923626,0.0,365161.4516923626,681931.633153908
western_europe,expected_high,zealand_province,2323,western_europe,8,4342.620629470653,757.3343083901902,5099.954937860843,366862.44930509344
western_europe,representative_middle,slesvig_province,3542,western_europe,4,621.9222772118297,3318.162497022705,3940.0847742345345,73057.59537101386
western_europe,constrained_low,gardr_province,3430,western_europe,6,0.0,0.0,0.0,92250.0
