location_tag,population_capacity
al_matamma,191
al_mazamma,99
al_mima,9
al_mithnab,54
al_muazzam,11
al_mukalla,21
al_mukha,630
al_mundassah,14
al_muthainiyah,78
al_muwaylih,15
al_qaiyah,87
al_qara,39
al_qatif,52
al_qatr,191
al_qunfudhah,179
al_quway,65
al_quwayrah,11
al_rusayrisi,280
al_shihr,39
al_shuqayq,63
al_sinn,99
al_sirrayn,189
al_suman,114
al_thamad,11
al_thulayma,27
al_tib,184
al_tiz,17
al_udayb,10
al_udayd,21
al_udhaim,21
al_ukhaydir,18
al_ula,27
al_uqayr,36
al_uyayna,25
al_wajh,15
al_waqbi,25
al_yamamah,101
alagadyan,11
alaiye,54
alakol,297
alakurti,13
alamamas,156
alamance,80
alamarvdasht,64
alamganj,2361
alapaha,91
alapahoochee,98
alapayevsk,126
alarcon,112
alasehir,208
alashakhan,152
alat,11
alatyr,59
alausi,110
alaverdi,79
alawa,498
alays,364
alazapa,355
alba,88
alba_de_aliste,105
alba_de_tormes,137
alba_iulia,67
albacete,82
albarracin,79
albenga,230
albi,292
albo,71
albreda,50
albuquerque,67
alcacer_do_sal,117
alcala_de_henares,225
alcanices,122
alcaniz,112
alcantara,128
alcaraz,94
alcazar_de_san_juan,98
alchan,322
alcobaca,360
alcoy,363
aldan,11
alencon,225
aleppo,178
aleria,62
ales,80
aleshtar,52
alessandria,165
alexandria,16
alexandrov_gay,128
alexandrovskaya_sloboda,38
alexandrovskoye,80
alexeyevka,96
alexeyevskaya,84
alfambra,86
alfeld,86
alfenas,104
alferovskaya,56
alfta,66
algeciras,190
alghero,53
algiers,420
alhambra_location,95
ali_sabieh,77
aliabad_katul,152
alicante,169
aligurdaz,42
alii,11
alikovo,51
alinchak,15
alirajpur,702
alishang,122
aliskerovo,11
alkalawa,141
alkhan_kala,85
alkmaar,20
allagash,70
allakaket,11
allegheny,84
allegre,173
allingsas,69
allpas,127
alluyes,112
almaden,105
almalik_chach,247
almaliq,218
almanzora,193
almaty,140
almazan,68
almenara,239
almenevo,141
almeria,139
almetyevsk,112
almodovar_del_campo,125
almonaster_la_real,125
almora,396
almudevar,82
almunecar,168
alnwick,114
alpo_wa,147
alpowna,199
alpu,290
alsfeld,130
alsigontekw,39
alstahaug,24
alta,11
altafjord,11
altaikha,11
altamaha,83
altamura,650
altan_gadas,65
altayn_ovor_gobi,20
altayskoye,244
altdorf,66
altena,328
altenburg,149
altenkirchen,193
altinekin,49
altintas,92
altit,11
altun_ha,29
altun_kupri,137
altyntobe,131
altyshevo,72
alubera,13
aluksne,55
alula,11
alura,170
aluri,121
aluutashe,122
alvalade,55
alvastra,87
alvdal,14
alvito,55
alvsby,11
alwar,728
alxa,21
aly_kyuyel,11
alyanbulag,145
alymdya,11
alysardakh,11
alytus,42
am_dam,778
am_djemena,356
amabe,194
amadiya,63
amadjuak,11
amaga,159
amahami,120
amaigbo,1659
amaimon,163
amakusa,151
amal,31
amalik,52
amalyk,11
amami_ooshima,119
amangu,172
amaravati,138
amarbayas_galang,238
amarendrapura,113
amargosa,226
amarkantak,386
amasipukwek,66
amasra,45
amassing,65
amasya,173
amaticoztitlan,429
amaxacotlan,386
amaye,172
amazar,140
ambaca,125
ambae,12
ambagarh,645
ambalanjakomby,127
ambam,246
ambarchik,11
ambat,70
ambatomanoina,213
ambatondrazaka,223
amber_loc,728
amberd,85
amberg,117
ambikapur,260
ambilobe,212
amblu_kai,62
ambohidray,76
amboim,54
amboise,130
ambolosy,164
ambositra,206
ambovontany,143
ambraw,193
ambriz,75
ambrizete,81
ambrym,17
ambuila,89
amchok,47
amdoukal,42
ameca,205
amedichi,11
amergo,194
amersfoort,113
amesbury,175
ameskour,30
amet,875
amga,11
amguema,11
amgun,44
ami,98
amiens,293
amintonck,45
amiq,11
amis,56
amisk,225
amisk_sakahikan,214
amisk_sipi,243
amiskwaciwiy,229
amkoe,209
amli,22
amman,148
ammonoosuc,58
ammoscongon,41
amnye_machen,31
amol,59
amol_turkmenabad,25
amollan,505
amoltepec,301
amomegosode,269
amonokoa,149
amora_gadal,108
amorgos,11
amoskeag,44
amot,20
amoyeli_gunahita,66
amoyescheck,71
ampotaka,116
amqui,39
amrabad,425
amravati,790
amreli,775
amsterdam,25
amstetten,239
amtogor,11
amud,122
amulaca,87
amundava,175
amurang,42
amyint,165
an_nabhaniyah,52
an_nakhil,22
an_nasifah,57
an_nibaj,83
an_nil,213
an_nuhaytiyyah,12
an_nuqrah,19
anaa,43
anabar,11
anace,143
anaco,214
anacopia,52
anacostia,50
anadyr_river,11
anadyr_trail,11
anagance,37
anagni,179
anah,104
anais,334
anajas,92
anak,214
anaklia,114
anakovik,11
anambas_islands,17
anambe,128
anamur,98
anana,107
ananatuba,89
ananiv,86
anantapur,868
anar,17
anarak,20
anardara,37
anasagunticook,67
anavarza,129
anavik,11
anaya,104
anbang,54
anbian,407
anchau,586
anchun,230
ancona,52
ancuase,256
ancud,52
andaki,323
andar,1881
andarab,133
andarai,710
andastoerrhonon,107
andasy_merine,132
andawaohie,28
andaymarca,121
ande,235
andechs,101
andegerebenha,11
anderson,33
andevoranto,164
andijan,281
andika,65
andimeshk,111
anding,179
anding_mashan,219
anding_suzhou,25
andkhoy,101
andolo,55
andomsky_pogost,40
andong,111
andong_huaian,582
andorra_la_vella,22
andranoboka,129
andranomavo,211
andranosoa,168
andravida,81
andreapol,50
andria,468
andritsaina,39
andros,12
androscoggin,43
andryushkino,11
andujar,108
anecho,304
anegada,12
anegandi,635
aneityum,12
anelo,470
anew,99
anfa,1423
anfu_jian,230
anfu_li,296
angadippuram,1158
angamacutiro,486
angastaco,153
angelokastron,134
angermunde,99
angers,307
anggamudi,72
angkor,119
angkor_borei,835
angkor_knong,424
anglesey,43
angoche,114
angoram,124
angouleme,259
angoya,16
angra,18
angualasto,262
angul,778
anguthimri,62
angwa,120
anhandui,420
anhayca,101
anhialo,37
anhua,274
anhua_anhua,438
anhua_huanjiang,177
ani,103
ani_south,233
aniakchak,37
anigiduwagi,41
anilco,72
anipitapiskow,123
aniyutsi,135
anji,423
anju_nurgan,212
anjuj_river,11
anka,173
ankara,103
ankavandra,106
ankazobe,151
anklam,46
ankober,112
ankoro,143
anlong,176
anlu,252
ann,123
anna_russia,84
annaba,224
annaburg,306
annan,141
annecy,141
anning,66
anoixi,111
anomansah,115
anping,168
anqiu,695
anren,243
anren_raozhou,119
ansai,214
ansbach,100
anseba,55
anso,82
ansongo,15
ansu,200
antabamba,87
antalaha,181
antalo,103
antalya,130
antananarivo,284
antequera,340
antetikala,35
anticosti,92
antietam,73
antigonish,36
antinir_pilquinan,312
antioch,148
antofagasta,11
antofalla,18
antsiroamandidy,90
antsohihy,124
antwerp,174
anula,136
anumagallu,925
anundsjo,13
anunsu,260
anupgarh,136
anuradhapura,200
anxi,371
anxi_dingzhou,271
anxiang,157
anyang,467
anyi,100
anyksciai,38
anyuan,102
anyuan_dingnan,144
anyuan_lianzhou,83
anyue,460
anyuysk,11
anzhou,229
anzourou,81
aoe,11
aonin,13
aopuni_atoll,11
aosta,31
aoudaghost,19
aouint_yghomane,14
aoukale,649
aousserd,11
aowa,245
apafalaya,84
apahtoksipisskan,118
apalachee,123
apan,427
apapelgino,11
apaqtukowatek,30
aparri,46
apataki_atoll,11
apatzingan,743
apeldoorn,248
apetowun,228
api_api,85
apiacas,463
apiai,95
apiaka,188
apica,65
apinji,71
apispaha,224
apolda,104
apollonia,141
apoquitaua,144
apotaka_hacha,117
appamatuck,51
appingedam,84
appleby,169
appomattox,60
apt,173
apucarana,463
apui,158
apuka,11
apure,643
apurlec,129
apyawa,262
apytere,98
aq_am,136
aqaba,11
aqanqmi,122
aqca,105
aqda,34
aqiq_banu_uqayi,141
aqmecit,55
aqmecit_prybuzhzhya,87
aquidauana,209
aquila,147
aquileia,125
aqush,103
aqyam_nup,20
ar_rabadha,26
ar_rabb,67
ar_rass,65
ar_rawdah,11
ar_rayn,42
ar_rayyan,52
ar_rukai,49
ar_ruwailiyyah,54
araban,106
arabi,16
arac,174
aracena,246
arachan,500
aracuai,261
arad,123
araes,345
aragua,127
araguaia,317
araguari,344
araicuahita,352
arak,36
arakaiu,1060
aranama,145
aranda_de_duero,114
arandai,91
arangastakh,11
araouane,11
arapgir,141
arapuey,83
araquara,219
arar,18
ararayu_aba,259
arari,156
araripocone,537
araritaguaba,60
arasibo,40
araska,105
aratika_atoll,11
aratu,316
arauca,467
araut,60
araya,50
arbaji,248
arboga,57
arbroath,75
archar,78
arches,310
archit,75
arcos_de_la_frontera,248
arcot,1575
ardabil,74
ardagh,70
ardahan,85
ardakan,12
ardatov,77
ardestan,54
ardra,2136
ardtornish,28
arechuna,276
areia,551
arequipa,105
arerius,163
ares_del_maestre,205
aresh,37
arevalo,116
arezzo,163
argada,58
argamakli_sarai,67
argas,11
argaxtaax,11
argenta,47
argentan,282
arges,86
arghestan,139
argi,38
argos,38
arguin,23
argun,50
arguvan,183
argyrokastro,66
ariano,152
ariari,446
aribinda,113
arica,196
ariguani,106
arikun,39
arilje,127
ariste,137
aritpa,106
ariza,97
arjeplog,11
arka,11
arkaba_tura,101
arkadak,56
arkat,298
arkhan,165
arkhangelsk,11
arkhangelskoye,58
arkhangelskoye_vologda,65
arkhara,327
arkhyz,15
arkvaz,74
arlal,20
arles,221
arlon,145
armagh,65
armavir,97
armizonskoye,152
arnay,197
arnedo,176
arnhem,261
arno_atoll,11
arnsberg,226
arnstadt,189
aro,190
aroas,589
aroche,148
arochukwu,376
arock,172
arona,232
aroostook,87
arop,13
aror,498
arque,82
arques,305
arrah,2439
arraias,686
arran,9
arras,258
arrayda,42
arroio,108
arroyo,72
ars,68
arshgul,39
arslanbob,72
arsubaniket,49
arsuk,11
arsuz,101
arta,78
artah,184
artanuji,73
artashavan,57
arthabaska,42
arti,101
artush,126
artyk,11
artyk_ata,18
arua,105
arua_amazon,96
aruamu,58
arubeira,12
aruja,22
arun,269
aruni,55
aruppukkottai,1211
arusha,226
arut,114
arutua_atoll,11
arvidsjaur,11
aryaru,53
arykbalyk,477
arylakh,11
arzamas,85
arzew,70
arzgir,86
arzu,43
as_salafiyah,190
as_salif,349
as_sib,77
as_sulaymi,11
as_suwaydirah,22
as_suwayriqiyah,48
asa,154
asadabad,77
asadabad_kunar,138
asahan,89
asahkaiowaipu,188
asaita,43
asaka,22
asakuchi,184
asakura,258
asanas,9
asbo,126
aschach,126
aschaffenburg,120
aschendorf,72
ascolipiceno,216
asele,14
aseptiketiheylhets,212
asfan,173
asfi,102
ash_shamli,11
ash_shaqiqah,93
ash_shibahah,21
ash_shuara,10
ash_shuaybah,90
ash_shuaybah_hail,26
ashalaho,92
ashaninka,172
ashaval,1339
ashby,55
ashca,114
ashca_caycu,216
ashchyozek,40
ashevo,35
asheweig,34
asheyi,11
ashida,106
ashigara,228
ashikaga_loc,96
ashikita,125
ashkamesh,92
ashmunayn,1
ashmyany,39
ashoro,23
ashraf,60
asht,96
ashtabula,91
ashuanipi,47
ashuapmushuan,39
asifabad,769
asika,505
asila_arabia,69
asilah,279
asingasta,120
asiniike,134
asiniwaciy,143
asir,48
asir_ALG,116
asirgarh,774
askataliank,28
askino,72
askiz,253
askot,229
aslan_horod,56
aslanapa,150
aslanduz,146
asmara,128
asmat,74
asni,1646
aso,353
asola,247
asoqasqoq,52
aspa,57
aspara,53
aspas,53
aspet,248
aspotogan,32
assa,6
assab,15
assabet,92
assan,156
assapasca,247
assawoman,116
assen,46
assens,136
assereniet,137
assinie,121
assisi,184
assode,11
assonet,78
assorodus,61
assosa,694
assunpink,42
astara,34
astarabad,121
asti,273
astore,10
astorga,112
astrakhan,93
astrina,33
astros,44
asuf,86
asurini,126
asvieja,54
aswan,1
asyut,1
at_tarfawi,29
ata_mindanao,63
atacames,166
atach,755
atahachi,85
atajal,156
atakpame,150
atalanti,16
atanagunypacam,229
atanari,625
atanuul,21
atar,11
atargan,11
atarque,256
atash,32
atbara,198
atbasar,791
atchafalaya,205
atepec,227
atfalati,134
atfih,1
ath,453
athabasca,153
athani,701
athenry,134
athens,1104
athlone,83
athmallik,690
athy,67
atibaia,56
atico,71
atikaki,154
atikokiwam,94
atikonak,12
atikuan,11
atikum,265
atikwa,116
atinggola,59
atishchevo,99
atitlan,343
atitlan_guatemala,252
atiya,1016
atka,11
atkarsk,74
atnatuu,61
atocpan,438
atoj_wasin,277
atpazari,219
atrakwaye,50
atrat,76
atri,53
atsugewi,55
atsuta,16
attaock,37
attaqua,70
attawapiskat,11
attendorn,392
attequa,70
attikamagen,11
attock,386
atuel,383
atzaccan,167
atzhaksy,64
aubusson,154
auccapana,83
auch,269
augsburg,36
aukwatowa,11
aulatsivik,11
auleta,201
aullagas,225
aulnay,213
aumale,228
aundh,1704
auneau,124
aunona,28
aupouri,77
aupuhkirakanewe,154
auqajikuna,117
aur_atoll,11
aurich,66
aurillac,220
aurland,23
ausa,1327
austria_baden,631
autlan,438
autun,221
auwe,488
auxerre,202
auxonne,101
auyo,386
ava_canoeiro,583
avaes,331
avaj,170
avallon,190
aveh,144
avellino,205
avesta,48
avga,477
avignon,250
avila,156
aviles,323
avis,47
avlayakan,11
avlonya,103
avnagar,260
avraga,344
avranches,325
awa,160
awa_brazil,320
awa_shikoku,249
awabakal,237
awad_bing,81
awadh,2277
awaji,166
awajun,63
awaran,22
aware,217
awastara,87
awaswas,60
awatixa,120
awaxaawi_ishiibisha,146
awbare,59
awbeh,45
awen,219
awjila,21
awka,743
awka_etiti,853
awlil,31
awngthim,102
awrtable,47
awyi,82
awyu,98
axawiri,51
axim,161
axochiapan,430
axocopan,490
axum,65
aya,254
ayadaldapa,228
ayagoz,193
ayahciyiniw_sakahikan,178
ayahuacas,193
ayamaco,27
ayamonte,58
ayan,11
ayas,162
ayasuluk,175
ayaviri,68
ayay,12
ayays,97
aybas,215
aydhab,7
aydincik,98
ayerou,58
ayish,145
aylesbury,196
ayllu_yacuchiri,134
ayn_tamr,125
ayni,31
ayntab,117
aynuna,11
ayo,78
ayo_ayo,68
ayodhya,696
ayopaya,71
ayora,235
ayr,85
aytos,81
ayvacik,117
ayvu_pora,443
az_zilfi,74
az_zubayir,19
azab,26
azadvar,43
azai,82
azamgarh,2111
azcapotzalco,561
azeevo,75
azeffoun,82
azemmour,528
azghand,25
azia,1232
azilal,129
azile,95
aznakayevo,65
azok,77
azougui,11
azraq,27
azrou,54
aztatlan,121
azua,83
azuaga,111
azumi,117
azzan,11
baak,129
baalbek,206
baashalapache,155
baawitigong,55
bab_kot,39
baba,138
baba_ata,39
babadag,68
babahuyu,93
babana,179
babar,19
babayevo,40
babichas,102
babicora,168
babimost,73
babonoyaba,246
baborigame,256
babruysk,50
babuyan,68
babuyan_islands,15
babuza,67
bac_thai_nguyen,38
bacalhieu,58
bacau,74
baciravan,74
backnang,113
bacs,119
bacuma,246
bad_ischl,230
bad_rock,91
bada,85
bada_yaqub,11
badabedi,44
badajoz,127
badam,45
badamgarh,707
badami,679
badau,123
baden,216
baden_im_aargau,215
badenoch,47
bades,162
badhu,11
badi,115
badimala,142
badimaya,84
badiraguato,176
badis,109
badjidi,255
badong,490
badozhsky,43
badr_hunayn,31
badra,39
badreh,58
badrinath,273
badtjala,220
badulla,184
baekcheon,81
baena,160
baependi,104
baeza,191
bafan,137
bafata,110
bafoulabe,278
bafoussam,273
bafq,14
bafra,74
baft,51
bag_ngula,233
bagadya,11
bagagem,289
bagalkot,866
bagaluhan,467
bagamoyo,496
bagansiapipi,41
baganuur,338
bagayevskaya,83
bagdarin,23
bage,93
bagh,12
bagh_iran,65
bagh_malek,78
baghai,70
baghdad,205
baghin,10
baghlan,197
baghran,51
bago_negros,84
bagram,324
bagu,121
bagua,60
bahadamer,245
bahal,112
baham,101
bahama,27
bahariyya,103
bahcesaray,41
bahir_dar,79
bahla,24
bahr_salamat,628
bahraich,2039
bahramchah,13
bahreman,11
baht,171
bai,198
bai_xinjiang,233
baia_crisului,116
baia_de_aries,30
baia_mare,76
baibalyk,184
baicang,319
baideng,155
baidoa,333
baidrag,62
baie_verte,75
baihekou,92
baijnath,597
bailongdui,11
bailundo,151
baima,219
baima_daming,327
baimachen,178
baimaguan,98
baini,167
baining,75
bairab,13
baise,102
baishan,160
baishui,110
baita,67
baitan,500
baiting,126
baiyungu,11
baja_hungary,138
bajaur,349
bajaura,348
bajdah,52
bajestan,43
bajhang,108
bajo_flores,71
bajone,215
bajrajinaparamitapura,456
bajura,105
bajwara,535
bakairi,469
bakanas,145
bakanh,179
bakas,123
bakel,158
bakele_kongo,120
bakgalagadi,919
bakgatla,451
bakhalal,36
bakhanay,11
bakhapcha,11
bakharz,28
bakhmach,69
bakhmut,226
bakhtinsky,11
bakka,177
bakongo,219
bakota,56
baku,80
bakulabe,200
bakusaya,46
baky,11
bal_cattinon,143
bala,11
balabak,93
balad,132
balad_ruz,37
balagachchy,11
balaganakh,11
balagannakh,11
balagansk,174
balaghat,913
balaguer,87
balakan,63
balakovo,80
balambangan,493
balanda,73
balanggarra,117
balangir,821
balanipa,100
balasagun,60
balashov,62
balasore,299
balassagyarmat,125
balat,67
balbalan,41
balcheta,551
baldan_bereeven,221
bale,353
baleh,97
baleknagiq,113
baler,42
balga,54
balgatai,27
balhaf,15
balho,29
balibo,122
balige,86
baligram,594
baliisshe_aashe,185
balikesir,139
balikley,74
baling,464
balingen,117
baliseyh,147
balj,138
balkh,150
balkonda,1034
balla_arat,111
balladonia,203
ballaghaderreen,69
ballalapura,725
ballardong,247
ballarpur,951
balle,157
ballenstedt,82
ballia,2253
ballou,215
ballsh,123
ballycastle,53
ballymena,40
ballymore,92
balotipone,457
balrampur,1850
balta,67
baltas,59
balti,142
baluba,400
balui,154
balya,159
balykchy,63
balyktyg,12
balyktykol,357
balzimachi,51
bam,23
bam_esfarayen,49
bama,170
bamako,363
bamangwato,270
bamba,11
bambara_maounde,141
bamberg,78
bamgweolo,145
bampton,239
bampur,18
bamu,27
bamyan,63
ban_don,121
ban_khon,118
ban_luang_cheng,95
ban_pa_la_ta,118
ban_phone,144
bana,239
banader,13
banamba,207
banan,578
banana_islands,103
banaro,56
banaz,178
banbishan,180
banbury,283
banda,2293
banda_ahenkro,229
banda_island,13
bandafassi,193
bandar_aceh,54
bandar_charak,65
bandar_deylam,55
bandar_deyr,66
bandar_e_anzali,138
bandar_e_jask,35
bandar_khamir,24
bandar_lengeh,72
bandar_rig,65
bandarbeyla,27
bandhugara,892
bandire,120
bandirma,129
bandogarh,798
banff,117
banfora,219
bang_keng,94
bangalore,621
bangarang,238
bangban,54
banggai,76
banggarla,232
bangkalan,287
bangkalan_borneo,114
bangui,985
bani,98
bani_cuba,51
bani_saad,119
bani_walid,11
baniachang,514
banihal,281
banikoara,243
banique,54
baniyas,264
banjabi,133
banjar,78
bankapura,511
bankim,165
bankura,1049
bankutu,168
bankuy,188
banlung,103
bannajbur,26
bannoni,36
bannoye,111
bannu,306
banon,227
banpu,495
banqiao,117
bansi,1614
banska_bystrica,111
bansko,48
banswara,703
bantayan,68
banteay_chhmar,183
banten,303
banua_lawas,87
banyo,148
banzart_khairkhan,65
bao_lac,48
baoan,253
baoan_baoan,305
baoan_dongguan,410
baochang,191
baochang_nanxiong,451
baode,162
baodi,210
baodian,115
baofeng,284
baoji,209
baojing,400
baokang,200
baoning,410
baoning_maozhou,156
baopapas,155
baoro,443
baoruco,59
baotong,173
baoying,568
bapaume,269
bapunu,140
baqa,20
baqqa,102
baqubah,97
bar_cg,17
bar_le_duc,171
bar_sur_aube,148
bar_sur_seine,111
bara_buru,68
bara_iraq,82
baraba_baraba,199
barabhum,754
baracoa,53
baradha,136
baragram,2060
barah,342
barahrah,90
barajagua,43
baraka,194
baram,145
baramulla,213
baran,2626
baraqish,85
barara,255
barasuru,570
barawa,112
barayy,11
barbacadle,42
barbacena,121
barbakaabad,726
barbastro,81
barca,69
barcarrota,113
barcelona,326
barcelonnette,16
barcelos,298
barchkend,10
barchuk,113
barco_de_valdeorras,128
barda,133
bardak,13
bardejov,154
bardera,210
bardhaman,2056
bardi,214
bardi_australia,71
bardodalen,11
bardok,385
bardsir,21
bareilly,1465
barem,85
bares,119
bargaal,18
bargarh,713
bargiri,69
barguna,532
bari,287
baria,1216
barinas,210
baripada,913
bariq,103
baris,11
barito,128
barjols,76
barkdiz,79
barking,118
barkinji,356
barkul,99
barlad,44
barletta,193
barmaur,76
barna,203
barnaul,169
barnstaple,185
baroda,1084
barom,11
baronsk,85
barotse_kongo,130
barotse_mabunda,214
barpeta,458
barqaid,138
barquisimeto,170
barretos,137
barru,48
bars_khot,285
barsalogho,162
barskoon,68
barten,64
bartin,140
baru,64
baruga,49
barulo,186
barun_xiabaer,258
barundji,372
barunggam,272
barus,43
barutadura,123
baruun_tar_nuur,158
barvinkove,127
baryang,11
barylas,11
barysaw,43
barza,63
basai,121
basand,111
basarwa,793
basavana_bagewadi,713
basavapattana,714
basawunena,121
basel,325
basey,68
bashagard,29
bashqurtaran,116
basht,62
bashtanka,68
bashukulumbwe,265
basim,1059
basingstoke,261
basithah,129
baskale,32
baskamyr,50
baskatong,79
