location_tag,area_km2,capacity_people_p10,capacity_people_p50,capacity_people_p90,people_per_km2,crop_capacity_people,livestock_capacity_people,marine_capacity_people,freshwater_capacity_people,wild_capacity_people,apiary_capacity_people,rainfed_crop_capacity_people,irrigation_increment_capacity_people,tsetse_livestock_capacity_loss_people,cool_cereals_capacity_people,warm_cereals_capacity_people,wet_rice_capacity_people,maize_capacity_people,roots_tubers_capacity_people,tropical_perennials_capacity_people,feasible_cultivated_fraction,food_system,external_crop_source_coverage,normalized_capacity,model_version,source_manifest_hash
abadeh_tashk,2647.754898,5722,8415,11613,3.178287,750,531,0,6989,71,75,721,29,0,750,0,0,0,0,0,0.025800,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abaga,5740.911457,8556,12582,17364,2.191686,0,3320,0,7418,1435,410,0,0,0,0,0,0,0,0,0,0.184900,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abagaita,20623.297827,453233,666519,919796,32.318727,515731,117956,0,32832,0,0,457209,58523,0,387201,128530,0,0,0,0,0.273600,oats+sorghum,1.000000,23,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abaiang_atoll,365.774776,11201,17593,25275,48.097906,2457,895,14143,0,81,17,2380,76,0,0,0,0,0,2457,0,0.099000,taro,0.666667,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abakasnk,13254.993350,133280,196000,270481,14.786916,166207,14241,0,11157,3743,652,152764,13443,0,166207,0,0,0,0,0,0.184900,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abala,2394.684731,6631,9751,13456,4.071966,4573,4980,0,0,155,43,4573,0,0,0,3889,0,0,683,0,0.032000,sorghum+yam,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abalak,29288.217447,72006,110100,155682,3.759197,47473,60910,0,0,1320,397,47473,0,0,0,0,0,0,47473,0,0.144000,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abalessa,16877.631219,4024,6153,8700,0.364552,616,4608,0,0,451,477,616,0,0,0,0,0,0,616,0,0.022800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aban,16334.654333,93653,137724,190060,8.431424,113400,9446,0,12362,1958,559,104228,9172,0,113400,0,0,0,0,0,0.309600,oats,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abare_i,7540.606632,206328,303424,418725,40.238655,288241,7095,0,5903,1912,272,264927,23314,0,0,0,0,43228,245013,0,0.163400,cassava+maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abarkuh,2299.455341,404,594,820,0.258364,0,461,0,0,66,67,0,0,0,0,0,0,0,0,0,0.022800,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abashiri,542.087590,26824,39447,54436,72.767879,31009,582,7718,0,119,19,30048,962,0,31009,0,0,0,0,0,0.309600,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abau,3707.443694,126256,185671,256226,50.080676,179152,1590,0,3705,1185,39,164662,14490,0,0,0,0,0,29424,149729,0.244800,banana+yam,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abbeville,659.141312,43717,64290,88720,97.535369,54523,1261,8459,0,39,7,52833,1691,0,54523,0,0,0,0,0,0.396000,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abdanan,3175.529148,24217,35613,49146,11.214774,28808,6604,0,0,158,43,28808,0,0,22685,6123,0,0,0,0,0.144000,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abdas,2901.431263,10490,15427,21289,5.317088,9225,792,0,5337,37,36,8237,988,0,7461,1764,0,0,0,0,0.420000,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abdulino,4520.015218,286079,420705,580572,93.075944,397447,16683,0,6575,0,0,365301,32146,0,334200,63248,0,0,0,0,0.518400,barley+sorghum,1.000000,14,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abe,482.721967,5257,7732,10670,16.016668,6969,519,0,0,214,30,6969,0,0,5460,1508,0,0,0,0,0.068800,wheat+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abemama_atoll,352.422300,10894,17110,24582,48.550638,2254,862,13903,0,75,17,2184,70,0,0,0,0,0,2254,0,0.099000,taro,0.666667,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abengourou,12343.666053,310776,457023,630692,37.024908,444317,2317,0,6930,3325,135,408379,35937,3199,0,0,106157,0,0,338160,0.244800,banana+rice_wet,1.000000,16,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aberdeen,576.309792,16971,24957,34441,43.305220,14987,2028,7942,0,0,0,14523,465,0,14987,0,0,0,0,0,0.518400,oats,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aberfeldy,1207.701295,1348,1982,2735,1.641284,0,1231,0,0,665,86,0,0,0,0,0,0,0,0,0,0.184900,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aberystwyth,550.465543,10893,16019,22106,29.100037,7083,1053,7773,0,92,17,6864,220,0,7083,0,0,0,0,0,0.236500,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abesehir,34384.509181,779004,1203095,1711403,34.989447,1076498,126597,0,0,0,0,1076498,0,0,0,1076498,0,0,0,0,0.518400,sorghum,0.750000,41,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abha,2913.118829,964,1474,2084,0.505848,509,795,0,0,87,82,509,0,0,0,0,0,0,509,0,0.022800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abhar,1880.145842,28068,41277,56962,21.954218,33440,7837,0,0,0,0,33440,0,0,6135,27305,0,0,0,0,0.273600,sorghum+oats,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abihka,3430.200651,245907,361629,499048,105.424924,352040,3909,0,4883,698,99,323566,28474,0,0,0,0,268698,83342,0,0.309600,maize+sweet_potato,1.000000,12,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abil,3036.046106,1005,1537,2173,0.506172,532,829,0,0,90,86,532,0,0,0,0,0,0,532,0,0.022800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abimatinu,3632.065124,8001,11766,16237,3.239527,0,3902,0,5945,1659,259,0,0,0,0,0,0,0,0,0,0.309600,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abingdon,704.080614,49179,72322,99805,102.718514,67104,2477,0,2741,0,0,61676,5428,0,67104,0,0,0,0,0,0.518400,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abisko,12313.744444,27430,40338,55666,3.275847,0,13885,0,25488,728,238,0,0,0,0,0,0,0,0,0,0.032000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abitau,13067.374178,25837,37995,52433,2.907630,0,7556,0,26240,3266,933,0,0,0,0,0,0,0,0,0,0.420000,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abiward,6991.290347,25599,37645,51951,5.384618,26470,10675,0,0,390,111,26470,0,0,20147,6323,0,0,0,0,0.086000,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abiy_addi,2446.791507,23630,34750,47955,14.202208,24475,5126,0,4919,191,39,22495,1980,0,4756,19719,0,0,0,0,0.086000,foxtail_millet+wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abiz,3214.023799,1748,2570,3547,0.799698,1748,644,0,0,87,91,1748,0,0,1748,0,0,0,0,0,0.022800,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abo,2753.513496,46360,68177,94084,24.759938,45689,5554,16767,0,136,31,44272,1417,0,45689,0,0,0,0,0,0.396000,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abomey,3760.131991,100413,147666,203779,39.271469,140344,1675,0,4922,621,105,128992,11351,2313,0,34238,0,0,106105,0,0.309600,yam+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abong,15938.647820,221227,325334,448961,20.411646,308285,3101,0,8143,5583,223,283350,24935,4282,0,0,66954,0,0,241331,0.146200,banana+rice_wet,1.000000,11,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aborlan,2904.541674,45353,66695,92040,22.962443,45589,2018,17207,0,1809,72,44176,1414,0,0,0,0,0,7423,38166,0.054400,banana+yam,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abrahamtelke,2404.494411,173980,255853,353078,106.406335,242057,8918,0,4878,0,0,222479,19578,0,64384,177672,0,0,0,0,0.518400,foxtail_millet+wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abu,780.083035,37950,55809,77017,71.542467,44529,1977,9158,0,121,24,43148,1381,0,34542,0,9987,0,0,0,0.236500,wheat+rice_wet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abu_dhabi,8071.257959,21918,33514,47389,4.152266,2531,2204,28350,0,207,222,2452,78,0,0,0,0,0,2531,0,0.043200,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abu_hamed,23116.077418,22377,34216,48382,1.480185,12013,6311,0,14664,593,635,11042,972,0,0,0,0,0,12013,0,0.043200,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abu_kemal,4907.276806,5785,8508,11741,1.733674,0,1340,0,6875,150,143,0,0,0,0,0,0,0,0,0,0.043200,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abu_qasr,6858.943109,1549,2277,3143,0.332020,0,1873,0,0,204,200,0,0,0,0,0,0,0,0,0,0.043200,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abu_rakah,3158.735051,1087,1663,2351,0.526422,620,862,0,0,91,89,620,0,0,0,0,0,0,620,0,0.025800,taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abun,4226.829531,45806,70040,99037,16.570348,43293,2937,20654,0,3052,104,41951,1342,0,0,0,0,0,8664,34629,0.054400,banana+taro,0.800000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aburra,965.629522,5325,7832,10808,8.110294,6268,984,0,0,518,61,6268,0,0,0,0,0,6268,0,0,0.068800,maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abuta,1167.157480,32997,48525,66964,41.575045,35726,1254,11091,0,397,57,34618,1108,0,29600,6126,0,0,0,0,0.184900,wheat+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abutua,44269.773120,1142607,1680305,2318820,37.956023,1565480,88636,0,20208,4488,1493,1438860,126620,0,0,1565480,0,0,0,0,0.209000,sorghum,1.000000,58,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abyy,7165.851680,10001,14708,20297,2.052501,0,4144,0,8262,1791,512,0,0,0,0,0,0,0,0,0,0.420000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acambaro,1995.386614,65307,96040,132536,48.131154,82622,2144,0,10571,600,103,73247,9376,0,0,0,0,82622,0,0,0.163400,maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acanti,1302.611665,51268,75395,104045,57.879660,58361,905,11688,3649,764,27,52108,6253,0,0,0,0,45973,12388,0,0.146200,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acaponeta,6760.751163,237425,349154,481833,51.644322,307643,16313,24685,0,427,87,298103,9539,0,0,0,0,238631,69012,0,0.144000,maize+sweet_potato,1.000000,12,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acarau,5283.527853,332150,488456,674069,92.448850,458585,29871,0,0,0,0,458585,0,0,0,0,0,349888,108697,0,0.309600,maize+cassava,1.000000,17,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acari,3683.324578,18671,27458,37891,7.454545,6936,1006,19314,0,101,101,6721,215,0,0,0,0,1192,5743,0,0.043200,white_potato+maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acasaguastlan,3399.175871,107448,158012,218057,46.485392,149844,3131,0,4071,842,124,137724,12120,0,0,0,0,26819,123025,0,0.163400,cassava+maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acatic,719.469423,20676,30406,41960,42.261229,27262,764,0,2177,175,29,25057,2205,0,0,0,0,6678,20584,0,0.163400,cassava+maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acayucan,1767.176386,94312,138694,191398,78.483368,126614,952,10488,0,617,23,122688,3926,0,0,0,0,29940,96674,0,0.244800,cassava+maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
accomac,1138.483577,52710,77514,106970,68.085686,63593,2885,10960,0,63,13,61621,1972,0,0,0,0,63593,0,0,0.396000,maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
accra,4425.128202,136553,200814,277123,45.380336,183812,903,14772,0,1274,53,178113,5700,1247,0,0,0,0,42821,140991,0.244800,banana+yam,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acerenza,866.757833,17367,25539,35244,29.465315,24178,1254,0,0,82,26,24178,0,0,24178,0,0,0,0,0,0.236500,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achacachi,1841.523689,8457,12436,17162,6.753326,0,6472,0,5879,73,13,0,0,0,0,0,0,0,0,0,0.273600,maize+white_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achachiwa,2585.131427,7767,11421,15762,4.418136,7277,3947,0,0,151,47,7277,0,0,0,0,0,1368,5909,0,0.032000,white_potato+maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achaivayam,7468.135446,6124,9007,12429,1.205994,0,8421,0,0,441,144,0,0,0,0,0,0,0,0,0,0.086000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achaka,1938.118750,4694,6903,9526,3.561566,0,2104,0,4402,283,114,0,0,0,0,0,0,0,0,0,0.420000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acham,1342.782222,13956,20523,28322,15.284122,14381,1813,0,3701,544,85,13218,1163,0,0,2434,11947,0,0,0,0.068800,rice_wet+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achan,15094.164203,155106,228097,314774,15.111630,131752,68183,0,28163,0,0,113579,18173,0,25542,106210,0,0,0,0,0.420000,sorghum+oats,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achava,6533.411387,22737,33436,46142,5.117756,0,7367,25557,0,386,126,0,0,0,0,0,0,0,0,0,0.086000,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achen,13688.625925,40503,59564,82198,4.351337,0,13952,36770,0,7865,977,0,0,0,0,0,0,0,0,0,0.184900,maize+white_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achikamii,7028.944031,13240,19471,26869,2.770066,0,7552,0,8185,3232,502,0,0,0,0,0,0,0,0,0,0.309600,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achim,377.403410,28545,41978,57930,111.228560,38585,1328,0,2066,0,0,35464,3121,0,38585,0,0,0,0,0,0.518400,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achit_nuur,20732.159088,55672,81871,112982,3.948995,29755,31655,0,19018,1106,337,28611,1144,0,29755,0,0,0,0,0,0.076000,oats,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
acholi,48732.740043,1873655,2755375,3802417,56.540528,2530371,206979,0,18025,0,0,2325709,204662,80492,0,658131,0,0,1872240,0,0.273600,yam+sorghum,1.000000,95,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
achomawi,4751.890553,10115,14875,20528,3.130424,0,6985,0,6769,842,279,0,0,0,0,0,0,0,0,0,0.236500,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aco,3100.871261,123967,182304,251580,58.791343,164995,12586,0,4723,0,0,151650,13345,4895,0,37203,0,0,127792,0,0.309600,yam+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
