From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
chateaulin;brest;sea;ushant;7483;6171;7483;6173;xxx
oleron;la_rochelle;sea;ile_de_re;7633;6029;7635;6029;xxx
oleron;rochefort;sea;ile_de_re;7636;6009;7638;6009;xxx
lesparre_medoc;libourne;sea;gironde;7656;5972;7660;5972;xxx
coruna;ferrol;sea;rias_altas;7312;5852;7313;5855;xxx
niebla;sanlucar;sea;bay_of_cadiz;7400;5445;7404;5445;xxx
wight;lymington;sea;solent;7625;6331;7625;6334;xxx
wight;portsmouth;sea;solent;7637;6331;7637;6335;xxx
rochester;prittlewell;sea;thames;7714;6381;7714;6384;xxx
st_andrews;dundee;sea;firth_of_tay;7559;6723;7559;6727;xxx
skye;ardtornish;sea;north_minch;7424;6782;7428;6782;xxx
mull;ardtornish;sea;firth_of_lorne;7425;6730;7425;6732;xxx
islay;inverary;sea;firth_of_lorne;7431;6708;7433;6708;xxx
kintyre;arran;sea;clyde_firth;7441;6670;7445;6670;xxx
kintyre;cowal;sea;clyde_firth;7445;6683;7448;6684;xxx
cockermouth;dumfries;sea;solway_firth;7542;6620;7542;6622;xxx
chester;liverpool;sea;liverpool_bay;7552;6514;7555;6514;xxx
anglesey;conwy;sea;liverpool_bay;7503;6504;7504;6501;xxx
anglesey;carnarvon;sea;dublin_bay;7493;6496;7495;6494;xxx
aberystwyth;harlech;sea;cardigan_bay;7506;6452;7506;6455;xxx
monmouth;bristol;sea;severn;7568;6391;7570;6389;xxx
moyarta;tralee;sea;shannon_estuary;7249;6459;7251;6456;xxx
adare;moyarta;sea;shannon_estuary;7270;6457;7270;6460;xxx
inishowen;coleraine;sea;lough_foyle;7371;6638;7373;6636;xxx
dundalk;iveagh;sea;dundalk_bay;7411;6555;7413;6557;xxx
paramushiru;shumushu;sea;lopatka_cape;14798;6330;14800;6330;xxx
awa_shikoku;awaji;sea;east_seto_sea;13818;5285;13820;5287;xxx
akashi;awaji;sea;east_seto_sea;13836;5310;13836;5307;xxx
kaisou;awaji;sea;east_seto_sea;13837;5289;13833;5289;xxx
ochi;toyota;sea;central_seto_sea;13744;5289;13744;5292;xxx
nakatsu;toyoura;sea;shimonoseki_strait;13649;5265;13649;5267;xxx
kagoshima;kimotsuki;sea;sata_cape;13634;5128;13637;5128;xxx
amakusa;izumi_satsuma;sea;amakusa_sea;13609;5163;13612;5163;xxx
amakusa;akita_kumamoto;sea;shimabara_bay;13627;5187;13629;5188;xxx
amakusa;takaki;sea;shimabara_bay;13616;5184;13616;5188;xxx
nishisonogi;higashisonogi;sea;oomura_bay;13594;5217;13594;5219;xxx
qikiqtagruk;nuurvik;sea;hotham_inlet;303;7508;303;7514;xxx
aguyaq;igiugig;sea;kvichak_bay;548;6908;548;6906;xxx
caniqaq;nuciiq;sea;hinchinbrook_bay;938;6992;942;6992;xxx
nuciiq;taatiilaaq;sea;hinchinbrook_bay;1054;7023;1058;7023;xxx
yakataga;yaakwdaat;sea;yakutat_bay;1334;6977;1336;6974;xxx
xutsnoowu;t_aaku;sea;funter_bay;1567;6849;1567;6853;xxx
saanya;gitxsanimaax;sea;lax_kw_alaams;1766;6620;1770;6618;xxx
saanya;sm_algyax;sea;lax_kw_alaams;1757;6610;1760;6606;xxx
heiltsuk;oweekeno;sea;hakai_coast;1864;6402;1864;6398;xxx
tanakteuk;ma_amtagila;sea;beaver_cove;1935;6317;1935;6314;xxx
tanakteuk;k_omoks;sea;haro_strait;1977;6309;1977;6306;xxx
k_omoks;homalco;sea;haro_strait;1990;6311;1992;6311;xxx
k_omoks;klahoose;sea;haro_strait;1999;6297;2002;6297;xxx
twana;duwamish;sea;kitsap_bay;2119;6110;2125;6110;xxx
mewuk;awaswas;sea;san_francisco_bay;2116;5504;2118;5502;xxx
puna;guancavilca;sea;huancavilca_gulf;4041;3196;4038;3197;xxx
puna;guayaquil;sea;huancavilca_gulf;4049;3199;4051;3202;xxx
ancud;caurakawin;sea;coronado_gulf;4342;941;4342;946;xxx
saelam;jautok;sea;fajokstai_channel;4297;555;4297;558;xxx
kcewite;kelaelkces;sea;concepcion_channel;4305;377;4305;374;xxx
kolser;ciaike;sea;lomas_bay;4525;239;4522;242;xxx
carapachay;ombu;sea;uruguay_river;5029;1429;5032;1429;xxx
carapachay;yaros;sea;uruguay_river;5027;1450;5032;1450;xxx
cangucu;carijo;sea;patos_lagoon;5318;1545;5322;1543;xxx
icabaqua;tapes;sea;patos_lagoon;5364;1638;5368;1638;xxx
arua_amazon;curumu;sea;vieira_grande_bay;5367;3312;5367;3309;xxx
mariocai;curumu;sea;vieira_grande_bay;5360;3290;5363;3290;xxx
mazagao;arua_amazon;sea;santana_island;5348;3322;5351;3322;xxx
wayampi;mariocai;sea;fura_dos_araiolos;5327;3275;5330;3275;xxx
bani_cuba;sagua;sea;nipe_bay;4252;4502;4254;4501;xxx
kiawah;wando;sea;port_royal_sound;4055;5195;4057;5197;xxx
nansemond;kiskiack;sea;lower_chesapeake_bay;4219;5451;4217;5454;xxx
werowocomoco;wicocomico;sea;lower_chesapeake_bay;4212;5490;4212;5493;xxx
minguannan;cohansey;sea;delaware_bay;4249;5606;4253;5606;xxx
minguannan;tetamekanch;sea;delaware_bay;4248;5615;4252;5615;xxx
massapequa;manhattan;sea;raritan_bay;4326;5686;4329;5686;xxx
pemetic;majabigwaduce;sea;schoodic_ridge;4582;5917;4582;5920;xxx
passamaquoddy;grand_manan;sea;grand_manan_basin;4640;5944;4643;5944;xxx
petitcodiac;maccan;sea;chignecto_bay;4758;6006;4761;6005;xxx
jijkwtuk;maccan;sea;minas_basin;4760;5975;4760;5979;xxx
canso;apaqtukowatek;sea;strait_of_canso;4900;5989;4900;5991;xxx
canso;qospemk;sea;strait_of_canso;4895;5994;4898;5994;xxx
antigonish;qospemk;sea;strait_of_canso;4893;5997;4896;5997;xxx
pogomeg;paspebiac;sea;chaleur_bay;4669;6154;4669;6157;xxx
ahwendoe;etchemin;sea;mouth_of_saint_lawrence;4459;6076;4459;6073;xxx
ahwendoe;kikonteku;sea;mouth_of_saint_lawrence;4456;6075;4456;6072;xxx
ahwendoe;ondaonnentakwi;sea;mouth_of_saint_lawrence;4457;6078;4456;6080;xxx
nikahionhwakowa;cataraqui;sea;bay_of_quinte;4222;5901;4219;5903;xxx
mackinac;manitoulin;sea;northern_lake_huron;3890;6014;3892;6014;xxx
wemitigoj;manitoulin;sea;cunningham_point;3966;6022;3963;6018;xxx
navskov;svendborg;sea;lilla_balt;8194;6617;8185;6620;xxx
wolgast;swinousjcie;sea;pommeranian_coast;8320;6555;8320;6557;xxx
swinousjcie;kamien;sea;pommeranian_coast;8359;6549;8361;6549;xxx
mestre;venice;sea;gulf_venice;8252;5986;8254;5984;xxx
senja;bardodalen;sea;senja_island;8508;7694;8511;7694;xxx
abakasnk;minusinsk;sea;pp_nav_00680;11854;6550;11856;6548;River navigation crossing
abdas;al_madar;sea;pp_nav_01479;9838;5130;9840;5130;River navigation crossing
abdas;basra;sea;pp_nav_01518;9843;5092;9845;5090;River navigation crossing
abingdon;henley;sea;pp_nav_00788;7639;6389;7641;6387;River navigation crossing
abrahamtelke;adony;sea;pp_nav_01001;8550;6093;8548;6091;River navigation crossing
abu_hamed;shemkhiya;sea;pp_nav_01906;9182;4424;9184;4422;River navigation crossing
adeqiu;sangme;sea;pp_nav_01623;12202;4969;12204;4967;River navigation crossing
adony;solt;sea;pp_nav_01001;8551;6074;8553;6072;River navigation crossing
adyumba;bakele_kongo;sea;pp_nav_02083;8157;3315;8159;3315;River navigation crossing
adyumba;lambarene;sea;pp_nav_02083;8156;3311;8158;3309;River navigation crossing
adyumba;nguyi;sea;pp_nav_02086;8127;3297;8129;3295;River navigation crossing
aerzhai;uraqai;sea;pp_nav_01192;12641;5672;12643;5672;River navigation crossing
agaes;lanagashec;sea;pp_nav_02308;5041;1860;5039;1858;River navigation crossing
agror;baligram;sea;pp_nav_01393;11006;5307;11004;5305;River navigation crossing
ahsenisiipi;wapsipinicon;sea;pp_nav_01177;3578;5744;3576;5742;River navigation crossing
aigun;bir_amur;sea;pp_nav_00831;13485;6315;13487;6313;River navigation crossing
aigun;tehcha;sea;pp_nav_00848;13499;6292;13501;6290;River navigation crossing
aiwanj;arkhan;sea;pp_nav_01286;10798;5459;10800;5457;River navigation crossing
aiwanj;khulm;sea;pp_nav_01301;10767;5467;10765;5465;River navigation crossing
aiwanj;kunduz;sea;pp_nav_01308;10786;5450;10788;5448;River navigation crossing
akhmim;asyut;sea;pp_nav_01694;9123;4857;9121;4855;River navigation crossing
akhmim;el_balyana;sea;pp_nav_01694;9127;4847;9125;4845;River navigation crossing
akhsisek;kerki;sea;pp_nav_01269;10655;5514;10653;5512;River navigation crossing
akhsisek;khoja_idat_kala;sea;pp_nav_01269;10653;5515;10651;5513;River navigation crossing
al_bab;jabar;sea;pp_nav_01318;9423;5404;9425;5402;River navigation crossing
al_madar;basra;sea;pp_nav_01518;9852;5092;9850;5090;River navigation crossing
al_qatr;basra;sea;pp_nav_01518;9834;5091;9832;5089;River navigation crossing
al_qatr;suq_al_shuyukh;sea;pp_nav_01515;9803;5091;9801;5089;River navigation crossing
al_tib;abdas;sea;pp_nav_01479;9830;5145;9832;5143;River navigation crossing
al_tib;wasit;sea;pp_nav_01460;9813;5182;9811;5180;River navigation crossing
alat;amol_turkmenabad;sea;pp_nav_01225;10558;5599;10556;5597;River navigation crossing
alchan;hulin;sea;pp_nav_01029;13786;6046;13784;6044;River navigation crossing
amazar;emuer;sea;pp_nav_00701;13233;6513;13235;6511;River navigation crossing
amersfoort;tiel;sea;pp_nav_00779;7932;6414;7930;6412;River navigation crossing
amnye_machen;sailahai;sea;pp_nav_01348;12249;5362;12251;5360;River navigation crossing
amonokoa;sangamon;sea;pp_nav_01210;3565;5630;3567;5628;River navigation crossing
amyint;kanna;sea;pp_nav_01873;12021;4581;12019;4579;River navigation crossing
amyint;pakokku;sea;pp_nav_01873;12023;4569;12021;4567;River navigation crossing
amyint;talok;sea;pp_nav_01876;12030;4541;12028;4539;River navigation crossing
an_nil;dayr_aqul;sea;pp_nav_01425;9721;5214;9723;5214;River navigation crossing
an_nil;karbala;sea;pp_nav_01445;9706;5204;9704;5202;River navigation crossing
anais;buriti;sea;pp_nav_02259;5639;2457;5637;2455;River navigation crossing
ancuase;chiramba;sea;pp_nav_02261;9244;2427;9242;2425;River navigation crossing
ancuase;massangano;sea;pp_nav_02260;9226;2444;9224;2442;River navigation crossing
ancuase;sena;sea;pp_nav_02263;9283;2388;9281;2386;River navigation crossing
ancuase;tete;sea;pp_nav_02256;9210;2464;9208;2462;River navigation crossing
andar;ballia;sea;pp_nav_01743;11517;4808;11515;4806;River navigation crossing
andawaohie;wachilmezi;sea;pp_nav_01010;4421;6060;4419;6058;River navigation crossing
anding_mashan;baishan;sea;pp_nav_01835;12615;4678;12613;4676;River navigation crossing
angermunde;chojna;sea;pp_nav_00724;8333;6477;8335;6475;River navigation crossing
angers;passavant;sea;pp_nav_00986;7652;6111;7650;6109;River navigation crossing
anilco;quigualtam;sea;pp_nav_01399;3550;5282;3550;5280;River navigation crossing
anilco;taposa;sea;pp_nav_01399;3551;5283;3553;5281;River navigation crossing
anlong;xilong;sea;pp_nav_01798;12477;4744;12479;4742;River navigation crossing
apyawa;tupirama;sea;pp_nav_02208;5417;2845;5419;2843;River navigation crossing
ar_rabb;hit;sea;pp_nav_01411;9629;5264;9631;5262;River navigation crossing
arauca;atanari;sea;pp_nav_02021;4528;3685;4530;3683;River navigation crossing
ardatov;kasimov;sea;pp_nav_00638;9592;6631;9590;6629;River navigation crossing
arguvan;keban;sea;pp_nav_01249;9436;5552;9438;5550;River navigation crossing
arnhem;tiel;sea;pp_nav_00781;7948;6414;7950;6412;River navigation crossing
aro;guanipa;sea;pp_nav_01989;4751;3783;4749;3781;River navigation crossing
aro;kai_kara;sea;pp_nav_02002;4722;3759;4720;3757;River navigation crossing
artyk_ata;karnak;sea;pp_nav_01152;10776;5843;10778;5841;River navigation crossing
artyk_ata;otrar;sea;pp_nav_01152;10778;5835;10780;5835;River navigation crossing
ashmunayn;el_buwit;sea;pp_nav_01676;9094;4895;9096;4893;River navigation crossing
ashmunayn;tahna;sea;pp_nav_01651;9093;4910;9095;4908;River navigation crossing
asni;banda;sea;pp_nav_01753;11356;4790;11356;4788;River navigation crossing
asni;rath;sea;pp_nav_01753;11354;4797;11352;4795;River navigation crossing
atbara;shemkhiya;sea;pp_nav_01927;9237;4328;9235;4326;River navigation crossing
atfih;beni_suef;sea;pp_nav_01599;9112;5002;9110;5000;River navigation crossing
atfih;giza;sea;pp_nav_01576;9115;5017;9113;5015;River navigation crossing
atiya;shahjadpur;sea;pp_nav_01801;11776;4729;11774;4727;River navigation crossing
avaes;lanagashec;sea;pp_nav_02315;5022;1825;5020;1823;River navigation crossing
avaes;mepenes;sea;pp_nav_02315;5025;1821;5027;1819;River navigation crossing
avignon;uzes;sea;pp_nav_01134;7910;5895;7908;5893;River navigation crossing
bacs;mohacs;sea;pp_nav_01045;8553;5996;8551;5994;River navigation crossing
bacs;vukovar;sea;pp_nav_01067;8553;5987;8551;5985;River navigation crossing
baghdad;karbala;sea;pp_nav_01429;9691;5223;9689;5221;River navigation crossing
bahraich;biswan;sea;pp_nav_01655;11391;4899;11389;4897;River navigation crossing
baja_hungary;tolna;sea;pp_nav_01021;8552;6037;8550;6035;River navigation crossing
bakusaya;wasit;sea;pp_nav_01455;9793;5190;9791;5188;River navigation crossing
ballia;arrah;sea;pp_nav_01759;11540;4784;11542;4782;River navigation crossing
ballia;buxar;sea;pp_nav_01764;11518;4786;11520;4784;River navigation crossing
banan;bishan;sea;pp_nav_01598;12540;5003;12538;5001;River navigation crossing
bangui;boali;sea;pp_nav_02048;8536;3584;8534;3582;River navigation crossing
banihal;udamphur;sea;pp_nav_01432;11108;5223;11110;5221;River navigation crossing
banua_lawas;kuripan;sea;pp_nav_02103;12922;3219;12920;3217;River navigation crossing
baode;fugu;sea;pp_nav_01245;12745;5571;12743;5569;River navigation crossing
baodian;baotong;sea;pp_nav_01810;12263;4726;12261;4724;River navigation crossing
baran;sambhal;sea;pp_nav_01618;11250;4949;11252;4949;River navigation crossing
barnaul;chesnokovka;sea;pp_nav_00707;11504;6509;11506;6507;River navigation crossing
barpeta;goalpara;sea;pp_nav_01745;11825;4813;11823;4811;River navigation crossing
basti;akbarpur;sea;pp_nav_01714;11458;4835;11460;4833;River navigation crossing
basti;awadh;sea;pp_nav_01705;11435;4849;11433;4847;River navigation crossing
batang;markham;sea;pp_nav_01552;12201;5034;12199;5032;River navigation crossing
bauzi;kwerba;sea;pp_nav_02106;13991;3199;13993;3197;River navigation crossing
baxian;banan;sea;pp_nav_01578;12541;5009;12543;5007;River navigation crossing
baxian;bishan;sea;pp_nav_01578;12536;5027;12534;5025;River navigation crossing
beisheng;heqing;sea;pp_nav_01713;12264;4829;12262;4827;River navigation crossing
beisheng;tongan_lijiang;sea;pp_nav_01689;12265;4857;12263;4855;River navigation crossing
belabo;laskarpur;sea;pp_nav_01833;11831;4689;11833;4687;River navigation crossing
belgrad;petrovaradin;sea;pp_nav_01120;8615;5934;8613;5932;River navigation crossing
beljamen;bykovo;sea;pp_nav_00875;9737;6231;9739;6229;River navigation crossing
beljamen;srednyaya_akhtuba;sea;pp_nav_00895;9729;6212;9731;6210;River navigation crossing
benauges;belin;sea;pp_nav_01105;7669;5935;7667;5933;River navigation crossing
benauges;bordeaux;sea;pp_nav_01105;7665;5952;7663;5950;River navigation crossing
benfeld;hachberg;sea;pp_nav_00916;8037;6163;8039;6161;River navigation crossing
benfeld;offenburg;sea;pp_nav_00916;8041;6170;8043;6168;River navigation crossing
beni_suef;sharuna;sea;pp_nav_01599;9107;4982;9109;4980;River navigation crossing
berber;shemkhiya;sea;pp_nav_01910;9219;4392;9217;4390;River navigation crossing
berdsk;krivoshchekovo;sea;pp_nav_00644;11471;6623;11469;6621;River navigation crossing
bettiah;sonepur_bihar;sea;pp_nav_01728;11541;4830;11539;4828;River navigation crossing
bettiah;thawe;sea;pp_nav_01703;11526;4854;11524;4852;River navigation crossing
beya;minusinsk;sea;pp_nav_00680;11857;6530;11859;6530;River navigation crossing
beya;shushenskoye;sea;pp_nav_00693;11872;6508;11874;6506;River navigation crossing
bhadohi;kantit;sea;pp_nav_01785;11439;4759;11437;4757;River navigation crossing
bhadohi;prayag;sea;pp_nav_01771;11408;4778;11406;4776;River navigation crossing
bhadohi;shankargah;sea;pp_nav_01771;11420;4768;11418;4766;River navigation crossing
bhakkar;dera_ismail_khan;sea;pp_nav_01482;10921;5141;10919;5139;River navigation crossing
bhimber;jammu;sea;pp_nav_01438;11086;5201;11088;5199;River navigation crossing
bhimber;sialkot;sea;pp_nav_01438;11083;5199;11085;5197;River navigation crossing
bidzhan;jiajin;sea;pp_nav_00924;13645;6172;13643;6170;River navigation crossing
bihar_sharif;samastipur;sea;pp_nav_01782;11604;4767;11606;4767;River navigation crossing
bihariganj;khagaria;sea;pp_nav_01755;11637;4778;11635;4776;River navigation crossing
bijni;goalpara;sea;pp_nav_01746;11806;4814;11808;4812;River navigation crossing
bikrampur;fathabad;sea;pp_nav_01839;11775;4678;11773;4676;River navigation crossing
bikrampur;pabna;sea;pp_nav_01825;11774;4681;11772;4679;River navigation crossing
bikrampur;qasba;sea;pp_nav_01848;11804;4655;11802;4653;River navigation crossing
bilgram;kanauj;sea;pp_nav_01692;11330;4868;11328;4866;River navigation crossing
bilgram;makanpur;sea;pp_nav_01692;11337;4855;11335;4853;River navigation crossing
bir_amur;humar;sea;pp_nav_00741;13427;6458;13425;6456;River navigation crossing
bir_amur;kuanhe;sea;pp_nav_00791;13461;6387;13459;6385;River navigation crossing
bir_amur;tehcha;sea;pp_nav_00832;13503;6319;13505;6317;River navigation crossing
birecik;dluk;sea;pp_nav_01292;9414;5463;9412;5461;River navigation crossing
biswan;gonda;sea;pp_nav_01683;11399;4870;11401;4868;River navigation crossing
bitki;bulava;sea;pp_nav_00744;14082;6440;14084;6438;River navigation crossing
bo_hai_khau;thien_truong;sea;pp_nav_01887;12527;4486;12525;4484;River navigation crossing
boali;bosobolo;sea;pp_nav_02041;8555;3612;8557;3610;River navigation crossing
bobaka;nunu;sea;pp_nav_02098;8427;3229;8429;3227;River navigation crossing
bobangi;nunu;sea;pp_nav_02098;8433;3236;8435;3234;River navigation crossing
bogatye_saby;vyatskiye_polyany;sea;pp_nav_00548;10007;6730;10009;6728;River navigation crossing
bohai;boxing;sea;pp_nav_01288;13064;5473;13066;5471;River navigation crossing
bohai;gaoyuan_jinan;sea;pp_nav_01288;13058;5470;13060;5468;River navigation crossing
bohan;mandisobi;sea;pp_nav_02352;5050;1568;5048;1566;River navigation crossing
bohan;yaguari_guazu;sea;pp_nav_02352;5042;1549;5040;1547;River navigation crossing
bohan;yaros;sea;pp_nav_02362;5062;1483;5060;1481;River navigation crossing
bolghar;tetyushi;sea;pp_nav_00648;9917;6620;9915;6618;River navigation crossing
bolotnye;kozhevnikovo;sea;pp_nav_00550;11516;6715;11514;6713;River navigation crossing
bolotnye;krivoshchekovo;sea;pp_nav_00644;11460;6635;11458;6633;River navigation crossing
bolotnye;tomsk;sea;pp_nav_00546;11544;6752;11546;6752;River navigation crossing
bolotnye;verkhotomsk;sea;pp_nav_00566;11555;6703;11557;6701;River navigation crossing
boowe;bakele_kongo;sea;pp_nav_02078;8200;3344;8198;3342;River navigation crossing
bor;lado;sea;pp_nav_02016;9121;3705;9119;3703;River navigation crossing
bordowa;guwahati;sea;pp_nav_01742;11883;4813;11881;4811;River navigation crossing
bosobolo;ouaka;sea;pp_nav_02038;8593;3626;8595;3626;River navigation crossing
brahin;liubech;sea;pp_nav_00783;9080;6391;9082;6389;River navigation crossing
brahin;lutava;sea;pp_nav_00807;9080;6365;9082;6363;River navigation crossing
branicevo;carasova;sea;pp_nav_01113;8674;5936;8676;5934;River navigation crossing
brass;cabo_formoso;sea;pp_nav_02044;7968;3605;7966;3603;River navigation crossing
buda;pest;sea;pp_nav_00958;8560;6130;8562;6128;River navigation crossing
budaun;sargadwari;sea;pp_nav_01663;11295;4907;11293;4905;River navigation crossing
bula_kongo;bungu_kongo;sea;pp_nav_02178;8309;3040;8307;3038;River navigation crossing
bulava;dzhuk;sea;pp_nav_00725;14067;6472;14065;6470;River navigation crossing
bulava;pilda;sea;pp_nav_00777;14073;6415;14071;6413;River navigation crossing
burayevo;chekmagush;sea;pp_nav_00625;10207;6657;10209;6655;River navigation crossing
burg;magdeburg;sea;pp_nav_00756;8222;6423;8220;6421;River navigation crossing
busal;eminabad;sea;pp_nav_01456;11048;5174;11050;5172;River navigation crossing
busal;pindi_bhattian;sea;pp_nav_01467;11027;5160;11029;5158;River navigation crossing
busayrah;deir_ez_zor;sea;pp_nav_01352;9507;5365;9505;5363;River navigation crossing
busayrah;rahba;sea;pp_nav_01360;9531;5341;9529;5339;River navigation crossing
busayrah;tabqah;sea;pp_nav_01352;9505;5369;9503;5367;River navigation crossing
