evidence_id,crop,evidence_state,latitude,longitude,coordinate_uncertainty_km,start_year,end_year,evidence_kind,source_id,source_record_id,source_object_sha256,citation_url,notes
crop_history_000001,banana,known_available,-5.78371111,144.33172222,0,-5000,-4490,dated_archaeological_cultivation_occurrence,unesco_kuk_nomination_2007,UNESCO_887:banana,53ba1c0a355f8e4b8ff8706d4b0b36fbbbe26527ede0ab7ef6e8dea5d9252cd2,https://whc.unesco.org/en/list/887,site=Kuk Early Agricultural Site; UNESCO coordinate=S5 47 1.36 E144 19 54.2; property_area_ha=116; crop is named in the nomination's vegetative-propagation agricultural sequence around 7000-6400 cal BP; use is documented as episodically persistent to the present
crop_history_000012,barley,known_available,39.94983,97.708792,10,-1885,-1620,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1067,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huoshaogou; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Shaogou/Qijia
crop_history_000013,barley,known_available,39.94983,97.708792,10,-790,-415,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1068,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huoshaogou; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Qijia
crop_history_000014,barley,known_available,39.94983,97.708792,10,255,548,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1069,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huoshaogou; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Qijia
crop_history_000015,barley,known_available,25.913217,32.707373,10,-4000,-3100,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_107,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Nagada South; country=Egypt; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=ass; phase=Pre-Dynastic
crop_history_000016,barley,uncertain,40.533307,98.147523,1,-2135,-1895,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1071,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huoshiliang; country=China; taxon_codes=?Hv; georef_quality=1; sample_quality=1; dating_quality=C14; phase=Siba
crop_history_000017,barley,known_available,38.97011662,103.50571183,10,-777,-542,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1072,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huoshitan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=AMS; phase=Shajing
crop_history_000018,barley,known_available,25.737902,32.621978,1,400,700,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_108,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Phoebammon; country=Egypt; taxon_codes=Hv|6rh; georef_quality=1; sample_quality=1; dating_quality=ass; phase=Byzantine
crop_history_000019,barley,known_available,35.11762,105.95518,10,960,1279,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1082,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Jiajiahewan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=AMS; phase=Song
crop_history_000020,barley,known_available,29.660383,94.37667,50,-773,-433,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1084,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Jialama; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=3; dating_quality=C14; phase=
crop_history_000021,barley,known_available,29.660383,94.37667,50,-370,-198,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1085,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Jialama; country=China; taxon_codes=Hv?; georef_quality=3; sample_quality=3; dating_quality=AMS; phase=
crop_history_000022,barley,known_available,22.649434,31.993007,50,-1000,-300,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_109,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Qasr Ibrim; country=Egypt; taxon_codes=Hv|2rH*; georef_quality=3; sample_quality=2; dating_quality=AMS; phase=Napatan
crop_history_000023,barley,known_available,35.77,102.39,10,-1513,-1413,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1095,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Jiaoridang; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=1; dating_quality=C14; phase=Kayue
crop_history_000024,barley,known_available,22.649434,31.993007,50,-25,100,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_110,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Qasr Ibrim; country=Egypt; taxon_codes=Hv|2rH*; georef_quality=3; sample_quality=2; dating_quality=ass; phase=Roman
crop_history_000025,barley,known_available,36.920327,102.53922,10,-2021,-1891,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1100,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Jinchankou; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Qijia
crop_history_000026,barley,known_available,36.920327,102.539221,10,-1879,-1681,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1101,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Jinchankou; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Qijia
crop_history_000027,barley,known_available,22.649434,31.993007,50,50,300,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_111,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Qasr Ibrim; country=Egypt; taxon_codes=Hv|2rH*; georef_quality=3; sample_quality=2; dating_quality=AMS; phase=Meroitic
crop_history_000028,barley,uncertain,35.09900855,105.91025145,10,1271,1337,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1118,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Jiuyuan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=ass; phase=Yuan
crop_history_000029,barley,known_available,31.66783333,79.77926111,50,-391,-208,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1119,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Jiweng; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=1; dating_quality=AMS; phase=
crop_history_000030,barley,known_available,22.649434,31.993007,50,300,550,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_112,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Qasr Ibrim; country=Egypt; taxon_codes=Hv|2rH*; georef_quality=3; sample_quality=2; dating_quality=ass; phase=Islamic
crop_history_000031,barley,known_available,31.14486111,80.65708333,50,455,700,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1125,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Kaerdong; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=3; dating_quality=AMS; phase=-
crop_history_000032,barley,known_available,36.797886,101.559709,1,-1386,-1134,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1126,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Kalashishuwan ; country=China; taxon_codes=Hv; georef_quality=1; sample_quality=1; dating_quality=C14; phase=Kayue 
crop_history_000033,barley,known_available,22.649434,31.993007,50,550,850,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_113,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Qasr Ibrim; country=Egypt; taxon_codes=Hv; georef_quality=3; sample_quality=2; dating_quality=AMS; phase=Christian
crop_history_000034,barley,known_available,35.990526,97.717309,10,-800,-548,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1130,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Keer; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=AMS; phase=Nuomuhong
crop_history_000035,barley,known_available,30.077186,95.58591,50,-757,-428,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1131,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Kha lding; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=3; dating_quality=AMS; phase=
crop_history_000036,barley,known_available,29.457575,94.481495,50,-1884,-1290,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1133,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Klu lding; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=3; dating_quality=AMS; phase=
crop_history_000037,barley,known_available,31.14486111,80.65708333,50,220,334,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1139,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Kyung-lung Mesa; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=1; dating_quality=C14; phase=Jin Dynasty
crop_history_000038,barley,known_available,22.649434,31.993007,50,300,550,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_114,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Qasr Ibrim; country=Egypt; taxon_codes=Hv|2rH*; georef_quality=3; sample_quality=2; dating_quality=AMS; phase=Post-Meroitic
crop_history_000039,barley,known_available,30.075287,95.590048,50,-750,-407,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1142,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=La phob; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=3; dating_quality=AMS; phase=
crop_history_000040,barley,known_available,37.330891,100.128184,1,-1410,-1260,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1143,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Lagalamaerma; country=China; taxon_codes=Hv; georef_quality=1; sample_quality=1; dating_quality=C14; phase=Kayue
crop_history_000041,barley,known_available,36.188257,102.060479,10,-897,-801,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1145,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Lalongwa; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Kayue
crop_history_000042,barley,known_available,35.766272,102.376639,10,-796,-516,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1147,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Lamuzui; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Kayue
crop_history_000043,barley,known_available,22.649434,31.993007,50,300,400,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_115,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Qasr Ibrim; country=Egypt; taxon_codes=Hv|2rH*; georef_quality=3; sample_quality=2; dating_quality=AMS; phase=Meroitic
crop_history_000044,barley,known_available,34.78130676,105.1231136,10,-1050,-50,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1151,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Laoyeshan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=AMS; phase=Siwa
crop_history_000045,barley,known_available,26.156149,34.242563,50,1,250,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_116,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Quseir al-Qadim; country=Egypt; taxon_codes=Hv; georef_quality=3; sample_quality=3; dating_quality=AMS; phase=-
crop_history_000046,barley,known_available,35.56947,116.36307,10,960,1234,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1161,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Liangzhuang; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=ass; phase=Song to Jin
crop_history_000047,barley,known_available,39.026389,100.336111,10,-1860,-1638,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1169,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Lijiageleng; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=AMS; phase=Qijia
crop_history_000048,barley,known_available,26.156149,34.242563,50,1000,1300,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_117,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Quseir al-Qadim; country=Egypt; taxon_codes=Hv; georef_quality=3; sample_quality=3; dating_quality=AMS; phase=Islamic 1000-1300
crop_history_000049,barley,known_available,35.535679,103.198629,50,-1750,-1535,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1171,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Lijiaping; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=3; dating_quality=AMS; phase=Qijia
crop_history_000050,barley,known_available,29.87431,31.223255,10,-330,350,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_118,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Saqqara; country=Egypt; taxon_codes=Hv; georef_quality=2; sample_quality=1; dating_quality=ass; phase=-
crop_history_000051,barley,known_available,29.87431,31.223255,10,-1900,-1785,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_119,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Saqqara AKT01; country=Egypt; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=ass; phase=-
crop_history_000052,barley,known_available,34.189091,105.178434,1,-770,-221,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1191,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Lixian 1; country=China; taxon_codes=Hv; georef_quality=1; sample_quality=1; dating_quality=ass; phase=East Zhou
crop_history_000053,barley,known_available,29.87431,31.223255,10,-1900,-1785,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_120,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Saqqara AKT02; country=Egypt; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=ass; phase=-
crop_history_000054,barley,known_available,36.681353,101.23716,10,-1005,-859,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1204,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Longshan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Kayue 
crop_history_000055,barley,known_available,36.73,101.19,10,-1306,-922,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1205,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Longshan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=C14; phase=Kayue
crop_history_000056,barley,known_available,35.023109,104.631405,10,-1050,-50,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1207,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Longxixihetan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=AMS; phase=Siwa
crop_history_000057,barley,known_available,41.78563925,101.72460748,10,-350,-59,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1209,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Lucheng; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=AMS; phase=Shanma
crop_history_000058,barley,known_available,42.336502,126.061761,10,900,1200,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1222,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Luotongshan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=ass; phase=Liao/ Jin dinasties
crop_history_000059,barley,known_available,35.927581,101.873668,10,-1419,-1211,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1225,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Luowalinchang; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=AMS; phase=Kayue
crop_history_000060,barley,known_available,35.927581,101.873667,10,-1407,-1217,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1226,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Luowalinchang; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=AMS; phase=Kayue
crop_history_000061,barley,known_available,34.71237298,105.10727277,10,-1050,-50,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1236,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Majiayao; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=ass; phase=
crop_history_000062,barley,known_available,23.701387,35.434738,1,200,400,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_124,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Shenshef; country=Egypt; taxon_codes=Hv; georef_quality=1; sample_quality=3; dating_quality=ass; phase=Post-Meroitic
crop_history_000063,barley,known_available,37.83093363,102.59176072,10,-1206,-1003,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1240,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Maolinshan; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=AMS; phase=Machang
crop_history_000064,barley,known_available,28.208611,113.021667,50,-186,-145,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1248,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Mawangdui; country=China; taxon_codes=Hv; georef_quality=3; sample_quality=2; dating_quality=ass; phase=Han
crop_history_000065,barley,known_available,36.12,102.03,10,-2396,-2028,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1249,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Meijia; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=C14; phase=Qijia
crop_history_000066,barley,known_available,30.783,31.833,10,-1880,-1630,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_125,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Tell el Dab'a; country=Egypt; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=AMS; phase=Middle Kingdom
crop_history_000067,barley,known_available,30.547466,31.962684,50,-1600,-1000,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_126,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Tell el-Retaba; country=Egypt; taxon_codes=Hv|6rh; georef_quality=3; sample_quality=2; dating_quality=ass; phase=New Kingdom
crop_history_000068,barley,uncertain,30.838605,31.810921,1,-3300,-2900,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_127,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Tell Ibrahim Awad; country=Egypt; taxon_codes=Hv|6rH|?6rN; georef_quality=1; sample_quality=3; dating_quality=C14; phase=Late Predynastic
