name,unlock_age,general_unlock_age,specific_unlock_age,availability_kind,is_available_by_age
slave_market,,,,available_by_default,True
pounamou_carver,,,,available_by_default,True
eng_royal_forest,,,,available_by_default,True
shoen,,,,available_by_default,True
tatara,,,,available_by_default,True
schwaz_mine,,,,available_by_default,True
ablaq_palace,,,,available_by_default,True
lucca_silk_production_guild,,,,available_by_default,True
fishing_village,,,,available_by_default,True
farming_village,,,,available_by_default,True
forest_village,,,,available_by_default,True
rural_glassmaker,,,,available_by_default,True
rural_clothmaker,,,,available_by_default,True
charcoal_maker,,,,available_by_default,True
improved_charcoal_maker,age_5_absolutism,age_5_absolutism,,unlocked,True
elephant_hunting_grounds,,,,available_by_default,True
sheep_farms,,,,available_by_default,True
alum_quarry,age_1_traditions,age_1_traditions,,unlocked,True
alum_works,age_3_discovery,age_3_discovery,,unlocked,True
amber_collector,,,,available_by_default,True
bog_iron_smelter_blast_furnace,age_3_discovery,age_3_discovery,,unlocked,True
bog_iron_smelter_coke_blast_furnace,age_5_absolutism,age_5_absolutism,,unlocked,True
chili_plantation,,,,available_by_default,True
cinnabar_pit,,,,available_by_default,True
clay_washmill,age_3_discovery,age_3_discovery,,unlocked,True
clove_grove,,,,available_by_default,True
coal_mine,,,,available_by_default,True
coal_mine_improved,age_5_absolutism,age_5_absolutism,,unlocked,True
coal_mine_revolutions,age_6_revolutions,age_6_revolutions,,unlocked,True
cocoa_grove,,,,available_by_default,True
coffee_grove,,,,available_by_default,True
cookery,,,,available_by_default,True
copper_mine,,,,available_by_default,True
copper_mine_adit,age_3_discovery,age_3_discovery,,unlocked,True
cotton_farm,,,,available_by_default,True
dye_plantation,,,,available_by_default,True
elephant_kraal,,,,available_by_default,True
husbandry_farmstead,age_3_discovery,age_3_discovery,,unlocked,True
farming_village_rotations,age_4_reformation,age_4_reformation,,unlocked,True
fiber_dressing_yard,age_3_discovery,age_3_discovery,,unlocked,True
gem_gravel_pit,,,,available_by_default,True
gem_sluice,age_4_reformation,age_4_reformation,,unlocked,True
gold_diggings,,,,available_by_default,True
gold_stamp_mill,age_4_reformation,age_4_reformation,,unlocked,True
incense_grove,,,,available_by_default,True
inland_saltworks,,,,available_by_default,True
engineered_brine_saltworks,age_5_absolutism,age_5_absolutism,,unlocked,True
iron_mine,,,,available_by_default,True
iron_mine_improved,age_3_discovery,age_3_discovery,,unlocked,True
iron_mine_deep,age_4_reformation,age_4_reformation,,unlocked,True
ivory_hunting_camp,,,,available_by_default,True
lead_mine,,,,available_by_default,True
lead_mine_bole_smelting,age_4_reformation,age_4_reformation,,unlocked,True
lead_mine_cupola_smelting,age_6_revolutions,age_6_revolutions,,unlocked,True
water_sawmill,age_4_reformation,age_4_reformation,,unlocked,True
lumber_mill_improved,age_5_absolutism,age_5_absolutism,,unlocked,True
managed_cocoa_grove,age_3_discovery,age_3_discovery,,unlocked,True
managed_forest_village,age_4_reformation,age_4_reformation,,unlocked,True
marble_quarry,,,,available_by_default,True
marble_saw_yard,age_2_renaissance,age_2_renaissance,,unlocked,True
market_cotton_farm,age_3_discovery,age_3_discovery,,unlocked,True
model_farm,age_5_absolutism,age_5_absolutism,,unlocked,True
net_curing_yard,age_2_renaissance,age_2_renaissance,,unlocked,True
nursery_orchard,age_3_discovery,age_3_discovery,,unlocked,True
ocean_fishery,,,,available_by_default,True
drift_net_fishery,age_3_discovery,age_3_discovery,,unlocked,True
offshore_fishery,age_4_reformation,age_4_reformation,,unlocked,True
pearl_fishery,,,,available_by_default,True
pepper_garden,,,,available_by_default,True
managed_pepper_garden,age_3_discovery,age_3_discovery,,unlocked,True
pomological_orchard,age_5_absolutism,age_5_absolutism,,unlocked,True
quicksilver_retort,age_4_reformation,age_4_reformation,,unlocked,True
saffron_croft,,,,available_by_default,True
saffron_kiln_croft,age_3_discovery,age_3_discovery,,unlocked,True
salt_mine,,,,available_by_default,True
salt_mine_improved,age_3_discovery,age_3_discovery,,unlocked,True
saltpeter_beds,age_1_traditions,age_1_traditions,,unlocked,True
sand_washery,age_3_discovery,age_3_discovery,,unlocked,True
sericulture_farm,,,,available_by_default,True
regulated_sericulture_farm,age_3_discovery,age_3_discovery,,unlocked,True
hurdled_sheepcotes,age_2_renaissance,age_2_renaissance,,unlocked,True
enclosed_sheep_walks,age_5_absolutism,age_5_absolutism,,unlocked,True
silver_mine,,,,available_by_default,True
silver_mine_improved,age_3_discovery,age_3_discovery,,unlocked,True
simplers_grove,,,,available_by_default,True
stone_quarry_improved,age_3_discovery,age_3_discovery,,unlocked,True
stud_farm,age_4_reformation,age_4_reformation,,unlocked,True
sugarcane_farm,,,,available_by_default,True
tea_garden,,,,available_by_default,True
tea_sorting_garden,age_3_discovery,age_3_discovery,,unlocked,True
terraced_coffee_grove,age_3_discovery,age_3_discovery,,unlocked,True
tin_streamworks,,,,available_by_default,True
tin_stamping_mill,age_3_discovery,age_3_discovery,,unlocked,True
tobacco_farm,,,,available_by_default,True
market_tobacco_farm,age_3_discovery,age_3_discovery,,unlocked,True
trapiche_sugarcane_farm,age_3_discovery,age_3_discovery,,unlocked,True
victualling_yard,age_5_absolutism,age_5_absolutism,,unlocked,True
victuals_market_import,,,,available_by_default,True
vineyard_estate,,,,available_by_default,True
