name,category,produced,output,input_goods,input_amounts,no_upkeep,required_pop_type,required_pop_amount,source_kind,building,production_method_group,production_method_group_index,production_efficiency_modifier,adjusted_output,output_value,input_cost,profit,profit_margin_percent,missing_price_goods,population_basis,output_per_population,source_file,source_line,source_layer,source_mod,source_mode,source_history
lutheran_preacher_maintenance,building_maintenance,,,"[""books""]",[0.02],true,,,global,,,,0.0,,0.0,0.06,-0.06,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,90,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":90,""mod_name"":null,""mode"":""CREATE""}]"
confucian_school_maintenance,building_maintenance,,,"[""paper"",""cloth""]","[0.1,0.2]",false,,,global,,,,0.0,,0.0,0.8,-0.8,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,97,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":97,""mod_name"":null,""mode"":""CREATE""}]"
sufi_lodge_maintenance,building_maintenance,,,"[""paper"",""cloth"",""incense""]","[0.1,0.15,0.05]",false,,,global,,,,0.0,,0.0,0.7749999999999999,-0.7749999999999999,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,106,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":106,""mod_name"":null,""mode"":""CREATE""}]"
temple_maintenance,building_maintenance,,,"[""glass"",""cloth"",""paper"",""copper"",""tools"",""beeswax""]","[0.013,0.02,0.02,0.02,0.01,0.05]",false,,,global,,,,0.0,,0.0,0.3315,-0.3315,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,114,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":114,""mod_name"":null,""mode"":""CREATE""}]"
library_maintenance,building_maintenance,,,"[""paper"",""books"",""glass""]","[0.1,0.25,0.05]",false,,,global,,,,0.0,,0.0,1.1,-1.1,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,131,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":131,""mod_name"":null,""mode"":""CREATE""}]"
theater_maintenance,building_maintenance,,,"[""cloth"",""wine"",""paper"",""fine_cloth"",""glass""]","[0.2,0.2,0.2,0.05,0.1]",false,,,global,,,,0.0,,0.0,2.0,-2.0,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,137,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":137,""mod_name"":null,""mode"":""CREATE""}]"
hippodrome_maintenance,building_maintenance,,,"[""leather"",""paper"",""tools"",""horses""]","[1.0,1.5,1.0,1.0]",false,,,global,,,,0.0,,0.0,12.25,-12.25,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,147,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":147,""mod_name"":null,""mode"":""CREATE""}]"
merchant_guild_chapel_requirements,building_maintenance,,,"[""paper"",""books"",""cloth""]","[0.2,0.1,0.1]",false,,,global,,,,0.0,,0.0,1.0,-1.0,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,156,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":156,""mod_name"":null,""mode"":""CREATE""}]"
qalat_al_mashwar_maintenance,building_maintenance,,,"[""cloth"",""jewelry"",""paper"",""fine_cloth""]","[1.0,0.05,1.0,0.1]",false,,,global,,,,0.0,,0.0,5.85,-5.85,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,163,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":163,""mod_name"":null,""mode"":""CREATE""}]"
art_school_maintenance,building_maintenance,,,"[""paper"",""dyes"",""marble"",""books"",""glass""]","[0.3,0.1,0.1,0.2,0.1]",false,,,global,,,,0.0,,0.0,2.4000000000000004,-2.4000000000000004,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,172,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":172,""mod_name"":null,""mode"":""CREATE""}]"
arts_academy_maintenance,building_maintenance,,,"[""paper"",""dyes"",""marble"",""books"",""glass""]","[0.6,0.2,0.2,0.4,0.2]",false,,,global,,,,0.0,,0.0,4.800000000000001,-4.800000000000001,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,182,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":182,""mod_name"":null,""mode"":""CREATE""}]"
mint_maintenance,building_maintenance,,,"[""goods_gold"",""silver"",""copper"",""tin""]","[0.1,0.1,0.25,0.1]",false,,,global,,,,0.0,,0.0,2.45,-2.45,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,192,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":192,""mod_name"":null,""mode"":""CREATE""}]"
dun_fort_maintenance,building_maintenance,,,"[""stone""]",[0.15],false,,,global,,,,0.0,,0.0,0.15,-0.15,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,208,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":208,""mod_name"":null,""mode"":""CREATE""}]"
fortress_church_maintenance,building_maintenance,,,"[""stone"",""weaponry"",""cloth"",""books"",""copper"",""tin""]","[0.1,0.02,0.05,0.01,0.025,0.01]",false,,,global,,,,0.0,,0.0,0.4350000000000001,-0.4350000000000001,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,214,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":214,""mod_name"":null,""mode"":""CREATE""}]"
basic_castle_maintenance,building_maintenance,,,"[""stone"",""tools"",""weaponry"",""tar""]","[0.05,0.05,0.05,0.02]",false,,,global,,,,0.0,,0.0,0.4025,-0.4025,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,225,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":225,""mod_name"":null,""mode"":""CREATE""}]"
burgtor_maintenance,building_maintenance,,,"[""stone"",""tools"",""weaponry""]","[0.1,0.1,0.2]",false,,,global,,,,0.0,,0.0,1.0250000000000001,-1.0250000000000001,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,233,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":233,""mod_name"":null,""mode"":""CREATE""}]"
city_walls_maintenance,building_maintenance,,,"[""stone"",""tools"",""weaponry"",""tar""]","[0.1,0.05,0.1,0.025]",false,,,global,,,,0.0,,0.0,0.6125,-0.6125,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,240,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":240,""mod_name"":null,""mode"":""CREATE""}]"
ruined_great_wall_of_china_maintenance,building_maintenance,,,"[""lumber"",""weaponry"",""clay""]","[0.1,0.02,0.02]",false,,,global,,,,0.0,,0.0,0.24500000000000002,-0.24500000000000002,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,248,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":248,""mod_name"":null,""mode"":""CREATE""}]"
repaired_great_wall_of_china_maintenance,building_maintenance,,,"[""lumber"",""weaponry"",""tools"",""stone"",""tar""]","[0.1,0.05,0.05,0.05,0.01]",false,,,global,,,,0.0,,0.0,0.5575000000000001,-0.5575000000000001,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,255,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":255,""mod_name"":null,""mode"":""CREATE""}]"
korean_gunnery_maintenance,building_maintenance,,,"[""stone"",""firearms"",""cannons"",""tools""]","[0.05,0.1,0.1,0.05]",false,,,global,,,,0.0,,0.0,0.9125,-0.9125,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,264,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":264,""mod_name"":null,""mode"":""CREATE""}]"
port_building_maintenance,building_maintenance,,,"[""tar"",""naval_supplies"",""tools"",""lumber"",""stone""]","[0.2,0.4,0.1,0.2,0.1]",false,,,global,,,,0.0,,0.0,2.375,-2.375,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,273,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":273,""mod_name"":null,""mode"":""CREATE""}]"
galley_barracks_maintenance,building_maintenance,,,"[""tools"",""slaves_goods""]","[0.5,0.5]",false,,,global,,,,0.0,,0.0,3.125,-3.125,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,283,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":283,""mod_name"":null,""mode"":""CREATE""}]"
janissary_barracks_maintenance,building_maintenance,,,"[""firearms"",""leather"",""cloth"",""paper"",""weaponry"",""slaves_goods""]","[0.5,0.5,0.1,0.2,0.5,0.5]",false,,,global,,,,0.0,,0.0,6.699999999999999,-6.699999999999999,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,290,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":290,""mod_name"":null,""mode"":""CREATE""}]"
ghilman_barracks_maintenance,building_maintenance,,,"[""firearms"",""leather"",""cloth"",""paper"",""weaponry"",""slaves_goods""]","[0.5,0.5,0.1,0.2,0.5,0.5]",false,,,global,,,,0.0,,0.0,6.699999999999999,-6.699999999999999,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,300,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":300,""mod_name"":null,""mode"":""CREATE""}]"
safaviyya_order_hall_maintenance,building_maintenance,,,"[""weaponry"",""leather"",""cloth"",""paper"",""glass""]","[0.5,0.5,0.1,0.2,0.07]",false,,,global,,,,0.0,,0.0,3.9099999999999997,-3.9099999999999997,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,310,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":310,""mod_name"":null,""mode"":""CREATE""}]"
cawa_barracks_maintenance,building_maintenance,,,"[""leather"",""cloth"",""weaponry""]","[0.5,0.1,0.5]",false,,,global,,,,0.0,,0.0,3.3,-3.3,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,319,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":319,""mod_name"":null,""mode"":""CREATE""}]"
port_authority_maintenance,building_maintenance,,,"[""naval_supplies"",""paper""]","[0.25,0.5]",false,,,global,,,,0.0,,0.0,1.75,-1.75,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,326,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":326,""mod_name"":null,""mode"":""CREATE""}]"
satellite_trade_building_requirements,building_maintenance,,,"[""paper""]",[0.1],false,,,global,,,,0.0,,0.0,0.2,-0.2,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,332,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":332,""mod_name"":null,""mode"":""CREATE""}]"
kontor_maintenance,building_maintenance,,,"[""lumber"",""tools"",""paper""]","[0.1,0.1,0.25]",false,,,global,,,,0.0,,0.0,1.0,-1.0,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,343,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":343,""mod_name"":null,""mode"":""CREATE""}]"
fondaco_maintenance,building_maintenance,,,"[""lumber"",""paper""]","[0.1,0.2]",false,,,global,,,,0.0,,0.0,0.5750000000000001,-0.5750000000000001,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,351,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":351,""mod_name"":null,""mode"":""CREATE""}]"
venetian_quarter_maintenance,building_maintenance,,,"[""paper""]",[0.1],false,,,global,,,,0.0,,0.0,0.2,-0.2,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,359,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":359,""mod_name"":null,""mode"":""CREATE""}]"
galata_maintenance,building_maintenance,,,"[""paper""]",[0.1],false,,,global,,,,0.0,,0.0,0.2,-0.2,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,364,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":364,""mod_name"":null,""mode"":""CREATE""}]"
market_center_building_maintenance,building_maintenance,,,"[""lumber"",""stone"",""tools"",""paper"",""salt"",""pottery""]","[0.2,0.2,0.2,2.0,0.2,0.2]",false,,,global,,,,0.0,,0.0,6.4,-6.4,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,369,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":369,""mod_name"":null,""mode"":""CREATE""}]"
warehouse_maintenance,building_maintenance,,,"[""lumber"",""tools"",""salt""]","[0.1,0.1,0.1]",false,,,global,,,,0.0,,0.0,1.0,-1.0,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,380,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":380,""mod_name"":null,""mode"":""CREATE""}]"
urban_parliament_seat_maintenance,building_maintenance,,,"[""books"",""fine_cloth""]","[0.2,0.1]",true,,,global,,,,0.0,,0.0,1.2000000000000002,-1.2000000000000002,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,387,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":387,""mod_name"":null,""mode"":""CREATE""}]"
early_capital_building_maintenance,building_maintenance,,,"[""furniture"",""tools"",""glass"",""fine_cloth"",""books"",""goods_gold"",""marble""]","[0.1,0.1,0.33,0.5,0.1,0.1,0.1]",false,,,global,,,,0.0,,0.0,6.315,-6.315,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,394,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":394,""mod_name"":null,""mode"":""CREATE""}]"
early_capital_building_silver_maintenance,building_maintenance,,,"[""furniture"",""tools"",""glass"",""fine_cloth"",""books"",""silver"",""marble""]","[0.1,0.1,0.33,0.5,0.1,0.1,0.1]",false,,,global,,,,0.0,,0.0,6.015000000000001,-6.015000000000001,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,405,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":405,""mod_name"":null,""mode"":""CREATE""}]"
