name,category,icon,price,price_gold,price_source,effective_price,effective_price_gold,effective_price_source,price_kind,pop_type,employment_size,employment_size_key,max_levels,obsolete_buildings,possible_production_methods,unique_production_methods,unique_production_method_groups,source_file,source_line,source_layer,source_mod,source_mode,source_history
chancery,government_category,,,,,,,,unresolved,burghers,,generic_burgher_employment,chancery_max_level,[],[],"[""pp_chancery_maintenance""]","[[""pp_chancery_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt,53,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":53,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
republican_assembly,government_category,,,,,,,,unresolved,nobles,,large_noble_employment,1,[],[],"[""pp_republican_assembly_maintenance""]","[[""pp_republican_assembly_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt,484,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":484,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
royal_garden,government_category,,,,,,,,unresolved,nobles,,noble_cultural_employment,1,[],[],"[""pp_royal_garden_maintenance""]","[[""pp_royal_garden_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt,240,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":240,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
pirate_stronghold,infrastructure_category,,,,,,,,unresolved,peasants,,capital_peasant_employment,1,[],"[""estate_building_input""]",[],[],/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_pirate_stronghold.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/capital_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":557,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_pirate_stronghold.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
local_governor,government_category,,,,,,,,unresolved,nobles,,large_noble_employment,1,[],[],"[""pp_local_governor_maintenance""]","[[""pp_local_governor_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_governor_building_adjustments.txt,8,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":282,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_governor_building_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":8,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
italian_administration_center,government_category,,,,,,,,unresolved,nobles,,large_noble_employment,1,[],[],"[""italian_administration_center_maintenance""]","[[""italian_administration_center_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_italian_administration_center.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/capital_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":686,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_italian_administration_center.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
naval_governor,government_category,,,,,,,,unresolved,nobles,,large_noble_employment,1,[],[],"[""pp_naval_governor_maintenance""]","[[""pp_naval_governor_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_governor_building_adjustments.txt,2,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":362,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_governor_building_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
central_bank,government_category,,,,,,,,unresolved,burghers,,large_burgher_employment,1,[],[],"[""central_bank_maintenance""]","[[""central_bank_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_central_bank.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/capital_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":844,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_central_bank.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
coastal_fort,defense_category,,,,,,,,unresolved,soldiers,,coastal_fort_employment,1,[],[],"[""coastal_fort_maintenance""]","[[""coastal_fort_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_coastal_fort.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/coastal_forts.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":1,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_coastal_fort.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
naval_battery,defense_category,,,,,,,,unresolved,soldiers,,naval_battery_employment,1,"[""coastal_fort""]",[],"[""naval_battery_maintenance""]","[[""naval_battery_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_naval_battery.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/coastal_forts.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":48,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_naval_battery.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
irrigation_systems,infrastructure_category,,pp_irrigation_systems_price,50.0,/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/prices/pp_irrigation_systems.txt,pp_irrigation_systems_price,50.0,/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/prices/pp_irrigation_systems.txt,explicit,peasants,0.0,,pp_wb_cap_irrigation_systems,[],[],[],[],/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_irrigation_systems.txt,2,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_irrigation_systems.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
bridge_infrastructure,infrastructure_category,,,,,,,,unresolved,laborers,,generic_peasant_building_employment,1,[],"[""bridge_maintenance""]",[],[],/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_bridge_infrastructure.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/common_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":41,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_bridge_infrastructure.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
pound_lock_canal_infrastructure,infrastructure_category,,,,,,,,unresolved,laborers,,generic_peasant_building_employment,1,[],"[""pound_lock_canal_infrastructure_maintenance""]",[],[],/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_pound_lock_canal_infrastructure.txt,2,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/common_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":77,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_pound_lock_canal_infrastructure.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
mason,basic_industry_category,,,,,,,,unresolved,laborers,1.0,,guild_max_level,[],[],"[""pp_mason_stone_bricks"",""pp_mason_clay_bricks""]","[[""pp_mason_stone_bricks"",""pp_mason_clay_bricks""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_mason.txt,2,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_mason.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
mercury_patio,rgo_building_category,,,,,,,,unresolved,laborers,,advanced_peasant_building_employment,mercury_patio_max_level,[],[],"[""mercury_patio_maintenance""]","[[""mercury_patio_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_mercury_patio.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/common_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":154,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_mercury_patio_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":1,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_mercury_patio.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
tar_kiln,basic_industry_category,,,,,,,,unresolved,laborers,1.0,,rural_building_cap,[],[],"[""pp_tar_kiln_tar_kiln_maintenance""]","[[""pp_tar_kiln_tar_kiln_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_tar_kiln.txt,2,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_tar_kiln.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
horse_breeders,rgo_building_category,,,,,,,,unresolved,laborers,1.0,,farm_capacity_max_horse_breeders,[],[],"[""pp_horse_breeders_base_horses"",""pp_horse_breeders_pasture_herds"",""pp_horse_breeders_stud_yards"",""pp_horse_breeders_selected_stallions""]","[[""pp_horse_breeders_base_horses""],[""pp_horse_breeders_pasture_herds"",""pp_horse_breeders_stud_yards"",""pp_horse_breeders_selected_stallions""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_horse_breeders.txt,2,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_horse_breeders.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
stone_quarry,rgo_building_category,,,,,,,,unresolved,laborers,1.0,,rural_building_cap,[],[],"[""pp_stone_quarry_base_stone"",""pp_stone_quarry_outcrop_gathering"",""pp_stone_quarry_cut_stone""]","[[""pp_stone_quarry_base_stone""],[""pp_stone_quarry_outcrop_gathering"",""pp_stone_quarry_cut_stone""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_stone_quarry.txt,2,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_stone_quarry.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
lumber_mill,rgo_building_category,,,,,,,,unresolved,laborers,1.0,,forest_capacity_max_lumber_mill,[],[],"[""pp_lumber_mill_base_lumber"",""pp_lumber_mill_no_primary"",""pp_lumber_mill_horse_tools"",""pp_lumber_mill_horse_victuals"",""pp_lumber_mill_livestock_tools"",""pp_lumber_mill_livestock_victuals"",""pp_lumber_mill_no_extra_rations"",""pp_lumber_mill_extra_rations"",""pp_lumber_mill_wound_salves""]","[[""pp_lumber_mill_base_lumber""],[""pp_lumber_mill_no_primary"",""pp_lumber_mill_horse_tools"",""pp_lumber_mill_horse_victuals"",""pp_lumber_mill_livestock_tools"",""pp_lumber_mill_livestock_victuals""],[""pp_lumber_mill_no_extra_rations"",""pp_lumber_mill_extra_rations"",""pp_lumber_mill_wound_salves""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_lumber_mill.txt,2,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_lumber_mill.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
fiber_crops_farm,rgo_building_category,,,,,,,,unresolved,laborers,1.0,,farm_capacity_max_fiber_crops_farm,[],[],"[""pp_fiber_crops_farm_base_fiber_crops"",""pp_fiber_crops_farm_field_harvest"",""pp_fiber_crops_farm_retting_yards""]","[[""pp_fiber_crops_farm_base_fiber_crops""],[""pp_fiber_crops_farm_field_harvest"",""pp_fiber_crops_farm_retting_yards""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_fiber_crops_farm.txt,2,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_fiber_crops_farm.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
sand_pit,rgo_building_category,,,,,,,,unresolved,laborers,1.0,,rural_building_cap,[],[],"[""pp_sand_pit_base_sand"",""pp_sand_pit_surface_gathering"",""pp_sand_pit_screened_pits""]","[[""pp_sand_pit_base_sand""],[""pp_sand_pit_surface_gathering"",""pp_sand_pit_screened_pits""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_sand_pit.txt,2,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_sand_pit.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
